Parasite_genus,Fish_sp.x,CI,min_abundance,max_abundance,mean_abundance,n_infected,nfish,prevalence
Chloromyxum,Carpiodes velifer,control,0,1,0.086956522,8,92,8.695652174
Chloromyxum,Carpiodes velifer,impact,0,1,0.136363636,12,88,13.63636364
Henneguya,Ictalurus punctatus,control,0,2,0.129032258,3,31,9.677419355
Henneguya,Ictalurus punctatus,impact,0,322,5.701754386,3,57,5.263157895
Myxidium,Gambusia affinis,control,0,1,0.05952381,5,84,5.952380952
Myxidium,Gambusia affinis,impact,0,1,0.096774194,12,124,9.677419355
Myxidium,Hybognathus nuchalis,control,0,1,0.04,4,100,4
Myxidium,Hybognathus nuchalis,impact,0,1,0.008264463,1,121,0.826446281
Myxobolus,Carpiodes velifer,control,0,856,85.36956522,69,92,75
Myxobolus,Carpiodes velifer,impact,0,1118,83.02272727,59,88,67.04545455
Myxobolus,Gambusia affinis,control,0,1,0.023809524,2,84,2.380952381
Myxobolus,Gambusia affinis,impact,0,1,0.016129032,2,124,1.612903226
Myxobolus,Hybognathus nuchalis,control,0,3,0.08,4,100,4
Myxobolus,Hybognathus nuchalis,impact,0,10,0.380165289,10,121,8.26446281
Myxobolus,Notropis atherinoides,control,0,28,1.435897436,15,78,19.23076923
Myxobolus,Notropis atherinoides,impact,0,174,3.625,24,128,18.75
Myxobolus,Pimephales vigilax,control,0,52,1.136363636,13,88,14.77272727
Myxobolus,Pimephales vigilax,impact,0,130,1.742857143,10,105,9.523809524
Thelohanellus,Pimephales vigilax,control,0,9,0.409090909,11,88,12.5
Thelohanellus,Pimephales vigilax,impact,0,28,0.780952381,13,105,12.38095238
Unicauda,Hybognathus nuchalis,control,0,28,0.58,4,100,4
Unicauda,Hybognathus nuchalis,impact,0,16,0.165289256,3,121,2.479338843
