        Dim.1     Dim.2      Dim.3       Dim.4        Dim.5
Ba 16.2828417  5.973714  7.2128492  2.30113297  0.002916247
Cd  0.5724635  6.065755 35.7787468  2.11149207  0.021118142
Cr  0.8464308 26.978469  2.4977296  1.71345438 27.919108509
Cu  3.2511531  9.823427 21.8381081  5.54636693 14.442528871
Pb 10.0439339  0.882161  5.2076237 70.99505810  2.908940304
Fe 12.4903380 11.246379  4.7067256  9.71311951 11.632899383
Mg 10.5694166 10.026569  7.5689962  3.11323809 20.527474380
Mn 19.3863995  7.830948  0.3619631  0.06164102  9.343656444
Hg 14.3578343 14.409413  0.1051185  2.70254920  8.664798214
Ni 12.1991885  6.763166 14.7221391  1.74194773  4.536559507
