Fish species,Catalog Number,Collection date,Site,Latitude,Longitude,n fish
Carpiodes velifer,31000,12/12/63,control,30.77861,-89.82972,6
Carpiodes velifer,31061,8/30/63,impact,30.76222,-89.83111,2
Carpiodes velifer,31086,2/20/64,control,30.76805,-89.83083,5
Carpiodes velifer,31091,2/20/64,impact,30.75667,-89.82611,2
Carpiodes velifer,31091,2/21/64,impact,30.75667,-89.82611,1
Carpiodes velifer,31117,4/27/63,control,30.77861,-89.82972,4
Carpiodes velifer,31360,5/20/63,impact,30.74083,-89.82611,4
Carpiodes velifer,31554,6/13/63,control,30.77861,-89.82972,4
Carpiodes velifer,31560,6/13/63,impact,30.74,-89.82777,1
Carpiodes velifer,31617,6/14/63,control,30.77861,-89.82972,5
Carpiodes velifer,33211,6/11/64,control,30.77861,-89.82972,3
Carpiodes velifer,33237,6/11/64,impact,30.75667,-89.82611,2
Carpiodes velifer,37943,7/5/65,control,30.76805,-89.83083,3
Carpiodes velifer,38138,8/6/65,impact,30.75667,-89.82611,4
Carpiodes velifer,48038,10/4/67,control,30.77861,-89.82972,2
Carpiodes velifer,48066,10/4/67,impact,30.74055,-89.82694,4
Carpiodes velifer,79496,7/12/72,control,30.77861,-89.82972,2
Carpiodes velifer,79541,7/12/72,impact,30.74055,-89.82694,7
Carpiodes velifer,99448,10/13/76,control,30.77861,-89.82972,4
Carpiodes velifer,99490,10/13/76,impact,30.74055,-89.82694,2
Carpiodes velifer,100830,1/19/77,control,30.76639,-89.83195,4
Carpiodes velifer,112536,4/20/79,control,30.77861,-89.82972,4
Carpiodes velifer,112555,4/20/79,impact,30.74472,-89.82528,4
Carpiodes velifer,120209,1/22/81,control,30.77861,-89.82972,4
Carpiodes velifer,123304,10/22/81,control,30.76805,-89.83083,4
Carpiodes velifer,123322,10/22/81,impact,30.74055,-89.82694,4
Carpiodes velifer,128025,10/21/82,control,30.76805,-89.83083,3
Carpiodes velifer,128038,10/21/82,impact,30.75667,-89.82611,3
Carpiodes velifer,129085,4/28/83,impact,30.75667,-89.82611,2
Carpiodes velifer,134748,4/26/84,control,30.7675,-89.83028,4
Carpiodes velifer,134777,4/26/84,impact,30.74055,-89.82694,2
Carpiodes velifer,151218,1/14/88,impact,30.75667,-89.82611,4
Carpiodes velifer,152902,7/21/88,control,30.76528,-89.83222,4
Carpiodes velifer,152917,7/21/88,impact,30.75667,-89.82611,3
Carpiodes velifer,152917,7/21/98,impact,30.75667,-89.82611,1
Carpiodes velifer,152931,7/21/88,impact,30.74055,-89.82694,4
Carpiodes velifer,157850,4/27/90,control,30.76528,-89.83222,3
Carpiodes velifer,159136,10/19/90,control,30.77583,-89.82722,4
Carpiodes velifer,159147,10/19/90,control,30.76528,-89.83222,4
Carpiodes velifer,159171,10/19/90,impact,30.74055,-89.82694,4
Carpiodes velifer,165054,7/18/92,control,30.77583,-89.82722,4
Carpiodes velifer,165064,7/18/92,control,30.76528,-89.83222,2
Carpiodes velifer,169777,4/9/94,impact,30.75667,-89.82611,4
Carpiodes velifer,171843,10/15/94,impact,30.75417,-89.82694,2
Carpiodes velifer,172558,1/14/95,impact,30.74055,-89.82694,4
Carpiodes velifer,177831,1/13/96,impact,30.74195,-89.82528,4
Carpiodes velifer,178358,4/6/96,control,30.77611,-89.82722,4
Carpiodes velifer,188290,7/24/99,impact,30.73694,-89.82694,2
Carpiodes velifer,190972,7/1/00,impact,30.74195,-89.82528,4
Carpiodes velifer,196897,1/31/04,impact,30.74055,-89.82694,4
Carpiodes velifer,197711,10/30/04,control,30.77611,-89.82777,3
Carpiodes velifer,197719,10/30/04,control,30.76528,-89.83222,3
Carpiodes velifer,198427,4/16/05,impact,30.75444,-89.82722,4
Gambusia affinis,30981,11/21/63,impact,30.705,-89.84611,4
Gambusia affinis,31064,8/30/63,impact,30.76222,-89.83111,4
Gambusia affinis,31238,9/29/63,impact,30.75667,-89.82611,4
Gambusia affinis,31242,9/29/63,impact,30.74,-89.82777,4
Gambusia affinis,31250,9/29/63,impact,30.705,-89.84611,4
Gambusia affinis,31257,7/11/63,control,30.76805,-89.83083,4
Gambusia affinis,31272,7/11/63,impact,30.705,-89.84611,4
Gambusia affinis,31538,10/24/63,impact,30.75667,-89.82611,4
Gambusia affinis,33223,6/11/64,control,30.76805,-89.83083,4
Gambusia affinis,37941,7/5/65,control,30.76805,-89.83083,3
Gambusia affinis,40083,3/17/66,impact,30.70222,-89.84417,4
Gambusia affinis,40393,4/2/66,impact,30.70222,-89.84417,4
Gambusia affinis,40980,7/3/66,control,30.76805,-89.83083,4
Gambusia affinis,42432,11/27/66,impact,30.70222,-89.84417,4
Gambusia affinis,68702,4/20/71,control,30.77861,-89.82972,4
Gambusia affinis,68735,4/20/71,impact,30.705,-89.84611,4
Gambusia affinis,68757,4/20/71,impact,30.70222,-89.84417,4
Gambusia affinis,87325,4/22/74,impact,30.76222,-89.83111,4
Gambusia affinis,112553,4/20/79,impact,30.76222,-89.83111,4
Gambusia affinis,115181,10/25/79,impact,30.75667,-89.82611,4
Gambusia affinis,115231,10/25/79,impact,30.70222,-89.84417,4
Gambusia affinis,117130,4/29/80,impact,30.70222,-89.84417,4
Gambusia affinis,120226,1/22/81,control,30.76805,-89.83083,2
Gambusia affinis,121243,4/30/81,control,30.7825,-89.82027,3
Gambusia affinis,121273,4/30/81,control,30.76805,-89.83083,4
Gambusia affinis,121291,4/30/81,impact,30.75667,-89.82611,4
Gambusia affinis,132481,10/6/83,impact,30.70222,-89.84417,4
Gambusia affinis,145183,4/24/86,control,30.77583,-89.82722,4
Gambusia affinis,145192,4/24/86,control,30.76528,-89.83222,4
Gambusia affinis,145203,4/24/86,impact,30.75667,-89.82611,4
Gambusia affinis,146702,10/9/86,control,30.7825,-89.82027,4
Gambusia affinis,146729,10/9/86,control,30.76528,-89.83222,4
Gambusia affinis,148200,4/2/87,control,30.7825,-89.82027,4
Gambusia affinis,148219,4/2/87,control,30.76528,-89.83222,4
Gambusia affinis,149353,7/14/87,impact,30.70222,-89.84417,2
Gambusia affinis,150515,10/29/87,impact,30.74055,-89.82694,4
Gambusia affinis,150525,10/29/87,impact,30.705,-89.84611,4
Gambusia affinis,157858,4/27/90,control,30.76528,-89.83222,4
