"...1","fish_psite_combo","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","Dissector_and_Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","psite_spp.x","psite_count","scaled_TL_mm","Fish_sp.x","psite_spp.y","Fish_sp.y","Life_History","Parasite_taxonomic_group","Parasite_genus","Parasite_epithet","Parasite_species","before_after","lat_long","site","distance_m","mean_streamflow","collection_date","mean_temperature","season","psite_presence","mean_nitrogen","logTL_mm","As","Ba","Cd","Cr","Cu","Pb","Fe","Mg","Mn","Hg","Ni","Zn","Elements_PC1","Elements_PC2"
1511,"Carpiodes velifer_MYX.E",99448,1976,10,"13","99448_01","JT IJ SC","07/30/2024","na",37,25,374,"control","control_1974-1983",30.77861,-89.82972,"MYX.E",0,-0.758896642854073,"Carpiodes velifer","MYX.E","Carpiodes velifer","Complex","Myxozoa","Myxobolus","spp.","Myxobolus spp.","after","30.77861_-89.82972","CB",-2338.94,332.416666666667,1976-10-13,19.6875,"fall",0,0.875625,3.61091791264422,1.08333333333333,NA,0.25,15,6.16666666666667,4.75,860,0.76,65.3333333333333,0.05,NA,30,-2.27852475934224,3.7063737824067
1512,"Carpiodes velifer_MYX.E",99448,1976,10,"13","99448_03","sc ij gmc","07/30/2024","na",33,23,260,"control","control_1974-1983",30.77861,-89.82972,"MYX.E",0,-1.13471139622367,"Carpiodes velifer","MYX.E","Carpiodes velifer","Complex","Myxozoa","Myxobolus","spp.","Myxobolus spp.","after","30.77861_-89.82972","CB",-2338.94,332.416666666667,1976-10-13,19.6875,"fall",0,0.875625,3.49650756146648,1.08333333333333,NA,0.25,15,6.16666666666667,4.75,860,0.76,65.3333333333333,0.05,NA,30,-2.27852475934223,3.70637378240669
1513,"Carpiodes velifer_MYX.E",99448,1976,10,"13","99448_04","sc ij gmc","07/30/2024","na",51,37,1185,"control","control_1974-1983",30.77861,-89.82972,"MYX.E",0,0.556454993939512,"Carpiodes velifer","MYX.E","Carpiodes velifer","Complex","Myxozoa","Myxobolus","spp.","Myxobolus spp.","after","30.77861_-89.82972","CB",-2338.94,332.416666666667,1976-10-13,19.6875,"fall",0,0.875625,3.93182563272433,1.08333333333333,NA,0.25,15,6.16666666666667,4.75,860,0.76,65.3333333333333,0.05,NA,30,-2.27852475934228,3.70637378240661
1514,"Carpiodes velifer_MYX.E",99448,1976,10,"13","99448_02","djb cjw","07/30/2024","na",33,23,279,"control","control_1974-1983",30.77861,-89.82972,"MYX.E",0,-1.13471139622367,"Carpiodes velifer","MYX.E","Carpiodes velifer","Complex","Myxozoa","Myxobolus","spp.","Myxobolus spp.","after","30.77861_-89.82972","CB",-2338.94,332.416666666667,1976-10-13,19.6875,"fall",0,0.875625,3.49650756146648,1.08333333333333,NA,0.25,15,6.16666666666667,4.75,860,0.76,65.3333333333333,0.05,NA,30,-2.27852475934222,3.70637378240668
1517,"Carpiodes velifer_MYX.E",100830,1977,1,"19","100830_04","jt kl","08/01/2024","na",34,27,301,"control","control_1974-1983",30.76639,-89.83195,"MYX.E",0,-1.04075770788127,"Carpiodes velifer","MYX.E","Carpiodes velifer","Complex","Myxozoa","Myxobolus","spp.","Myxobolus spp.","after","30.76639_-89.83195","CA",-701.21,397.888888888889,1977-01-19,18.4230769230769,"winter",0,0.881176470588235,3.52636052461616,1.13333333333333,NA,0.2,13.3333333333333,6.93333333333333,3.6,1095.83333333333,0.825,91.1111111111111,0.1,NA,25.6666666666667,-1.59474698010127,3.2251663556357
1518,"Carpiodes velifer_MYX.E",100830,1977,1,"19","100830_02","djb kl","08/01/2024","na",44,31,684,"control","control_1974-1983",30.76639,-89.83195,"MYX.E",0,-0.101220824457281,"Carpiodes velifer","MYX.E","Carpiodes velifer","Complex","Myxozoa","Myxobolus","spp.","Myxobolus spp.","after","30.76639_-89.83195","CA",-701.21,397.888888888889,1977-01-19,18.4230769230769,"winter",0,0.881176470588235,3.78418963391826,1.13333333333333,NA,0.2,13.3333333333333,6.93333333333333,3.6,1095.83333333333,0.825,91.1111111111111,0.1,NA,25.6666666666667,-1.59474698010132,3.22516635563566
1519,"Carpiodes velifer_MYX.E",100830,1977,1,"19","100830_01","jt dmdm","08/01/2024","na",33,23,256,"control","control_1974-1983",30.76639,-89.83195,"MYX.E",0,-1.13471139622367,"Carpiodes velifer","MYX.E","Carpiodes velifer","Complex","Myxozoa","Myxobolus","spp.","Myxobolus spp.","after","30.76639_-89.83195","CA",-701.21,397.888888888889,1977-01-19,18.4230769230769,"winter",0,0.881176470588235,3.49650756146648,1.13333333333333,NA,0.2,13.3333333333333,6.93333333333333,3.6,1095.83333333333,0.825,91.1111111111111,0.1,NA,25.6666666666667,-1.59474698010131,3.22516635563569
1520,"Carpiodes velifer_MYX.E",100830,1977,1,"19","100830_03","djb dmdm","08/01/2024","na",39,28,429,"control","control_1974-1983",30.76639,-89.83195,"MYX.E",0,-0.570989266169275,"Carpiodes velifer","MYX.E","Carpiodes velifer","Complex","Myxozoa","Myxobolus","spp.","Myxobolus spp.","after","30.76639_-89.83195","CA",-701.21,397.888888888889,1977-01-19,18.4230769230769,"winter",0,0.881176470588235,3.66356164612965,1.13333333333333,NA,0.2,13.3333333333333,6.93333333333333,3.6,1095.83333333333,0.825,91.1111111111111,0.1,NA,25.6666666666667,-1.5947469801013,3.22516635563567
1521,"Carpiodes velifer_MYX.E",112536,1979,4,"20","112536_02","JT KL","07/31/2024","na",43,31,667,"control","control_1974-1983",30.77861,-89.82972,"MYX.E",0,-0.195174512799679,"Carpiodes velifer","MYX.E","Carpiodes velifer","Complex","Myxozoa","Myxobolus","spp.","Myxobolus spp.","after","30.77861_-89.82972","CB",-2338.94,46,1979-04-20,20.6666666666667,"spring",0,0.854090909090909,3.76120011569356,1.25,48.3333333333333,0,5,5,13.75,1105,1.125,136.666666666667,0.025,NA,17.7777777777778,3.13876967056841,0.708926074366204
1522,"Carpiodes velifer_MYX.E",112536,1979,4,"20","112536_01","ij djb dmdm","07/31/2024","na",45,32,905,"control","control_1974-1983",30.77861,-89.82972,"MYX.E",12,-0.0072671361148816,"Carpiodes velifer","MYX.E","Carpiodes velifer","Complex","Myxozoa","Myxobolus","spp.","Myxobolus spp.","after","30.77861_-89.82972","CB",-2338.94,46,1979-04-20,20.6666666666667,"spring",1,0.854090909090909,3.80666248977032,1.25,48.3333333333333,0,5,5,13.75,1105,1.125,136.666666666667,0.025,NA,17.7777777777778,3.13876967056841,0.708926074366203
1523,"Carpiodes velifer_MYX.E",112536,1979,4,"20","112536_03","JT KL","07/31/2024","na",42,28,540,"control","control_1974-1983",30.77861,-89.82972,"MYX.E",0,-0.289128201142078,"Carpiodes velifer","MYX.E","Carpiodes velifer","Complex","Myxozoa","Myxobolus","spp.","Myxobolus spp.","after","30.77861_-89.82972","CB",-2338.94,46,1979-04-20,20.6666666666667,"spring",0,0.854090909090909,3.73766961828337,1.25,48.3333333333333,0,5,5,13.75,1105,1.125,136.666666666667,0.025,NA,17.7777777777778,3.13876967056841,0.708926074366203
1528,"Carpiodes velifer_MYX.E",120209,1981,1,"22","120209_01","jt cjw","08/01/2024","na",37,26,308,"control","control_1974-1983",30.77861,-89.82972,"MYX.E",0,-0.758896642854073,"Carpiodes velifer","MYX.E","Carpiodes velifer","Complex","Myxozoa","Myxobolus","spp.","Myxobolus spp.","after","30.77861_-89.82972","CB",-2338.94,120.25,1981-01-22,19.4666666666667,"winter",0,1.16357142857143,3.61091791264422,0.833333333333333,36.6666666666667,0,4.16666666666667,4.66666666666667,10.375,1085.83333333333,1.14166666666667,152.5,0.0666666666666667,1.125,21.25,2.57787371952425,0.530843221865438
1529,"Carpiodes velifer_MYX.E",120209,1981,1,"22","120209_02","jt kl","08/01/2024","na",43,31,623,"control","control_1974-1983",30.77861,-89.82972,"MYX.E",0,-0.195174512799679,"Carpiodes velifer","MYX.E","Carpiodes velifer","Complex","Myxozoa","Myxobolus","spp.","Myxobolus spp.","after","30.77861_-89.82972","CB",-2338.94,120.25,1981-01-22,19.4666666666667,"winter",0,1.16357142857143,3.76120011569356,0.833333333333333,36.6666666666667,0,4.16666666666667,4.66666666666667,10.375,1085.83333333333,1.14166666666667,152.5,0.0666666666666667,1.125,21.25,2.57787371952425,0.530843221865438
1530,"Carpiodes velifer_MYX.E",120209,1981,1,"22","120209_04","jt cjw","08/01/2024","na",39,28,434,"control","control_1974-1983",30.77861,-89.82972,"MYX.E",0,-0.570989266169275,"Carpiodes velifer","MYX.E","Carpiodes velifer","Complex","Myxozoa","Myxobolus","spp.","Myxobolus spp.","after","30.77861_-89.82972","CB",-2338.94,120.25,1981-01-22,19.4666666666667,"winter",0,1.16357142857143,3.66356164612965,0.833333333333333,36.6666666666667,0,4.16666666666667,4.66666666666667,10.375,1085.83333333333,1.14166666666667,152.5,0.0666666666666667,1.125,21.25,2.57787371952425,0.530843221865438
