Species,Cat_Num,Fish_ID,Location,Group_Decade,TL,SL,Weight,Temperature,Num.Fish.Jar,Notes,Month,Day,Year,State
Ictalurus_punctatus,28458,28458_01,Pearl River 2mi SE Mc Lain US Hwy 98,1960,91,64,4257,,17,,11,9,1962,LA
Ictalurus_punctatus,28458,28458_02,Pearl River 2mi SE Mc Lain US Hwy 98,1960,52,39,1090,,17,,11,9,1962,LA
Ictalurus_punctatus,28458,28458_03,Pearl River 2mi SE Mc Lain US Hwy 98,1960,107,72,6750,,17,,11,9,1962,LA
Ictalurus_punctatus,28458,28458_04,Pearl River 2mi SE Mc Lain US Hwy 98,1960,100,68,5472,,17,,11,9,1962,LA
Ictalurus_punctatus,27809,27809_01,"Pear River, 0.5 mi down stream from Richardson, or 1.5 mi SE of Bogalusa",1960,116,83,8833,,74,,2,12,1965,LA
Ictalurus_punctatus,27809,27809_02,"Pear River, 0.5 mi down stream from Richardson, or 1.5 mi SE of Bogalusa",1960,126,93,12105,,74,,2,12,1965,LA
Ictalurus_punctatus,27809,27809_03,"Pear River, 0.5 mi down stream from Richardson, or 1.5 mi SE of Bogalusa",1960,94,70,3878,,74,,2,12,1965,LA
Ictalurus_punctatus,27809,27809_04,"Pear River, 0.5 mi down stream from Richardson, or 1.5 mi SE of Bogalusa",1960,88,60,3272,,74,,2,12,1965,LA
Ictalurus_punctatus,55972,55972_01,Pearl River at River mile 54; 23 miles SE of Bogalusa,1960,131,101,15035,,27,,1,9,1969,LA
Ictalurus_punctatus,55972,55972_02,Pearl River at River mile 54; 23 miles SE of Bogalusa,1960,101,83,7612,,27,,1,9,1969,LA
Ictalurus_punctatus,104687,104687_01,Peael River along left bank at river mile 54; 2.4 mi SE of Bogalusa,1970,117,90,9399,,7,,11,4,1977,LA
Ictalurus_punctatus,104687,104687_02,Peael River along left bank at river mile 54; 2.4 mi SE of Bogalusa,1970,54,37,998,,7,,11,4,1977,LA
Ictalurus_punctatus,76740,76740_01,Pearl River just aboce Sill at Pools Bluff,1970,136,108,21200,,11,,4,18,1972,LA
Ictalurus_punctatus,76740,76740_02,Pearl River just aboce Sill at Pools Bluff,1970,107,84,9457,,11,,4,18,1972,LA
