"","NOTATH_monb$IndividualFishID","NOTATH_monb$YearCollected","NOTATH_monb$combo","NOTATH_monb$psite_count"
"1","31124_04",1963,"impact_1954-1963",12
"2","31124_03",1963,"impact_1954-1963",20
"3","31124_01",1963,"impact_1954-1963",12
"4","49084_04",1967,"impact_1964-1973",28
"5","68296_01",1971,"impact_1964-1973",16
"6","72349_04",1971,"control_1964-1973",14
"7","75711_02",1972,"control_1964-1973",10
"8","75711_01",1972,"control_1964-1973",7
"9","85342_01",1974,"control_1974-1983",8
"10","85342_02",1974,"control_1974-1983",8
"11","92856_02",1975,"impact_1974-1983",8
"12","92856_03",1975,"impact_1974-1983",6
"13","98475_02",1976,"impact_1974-1983",6
"14","104231_02",1977,"impact_1974-1983",6
"15","104231_03",1977,"impact_1974-1983",10
"16","106306_04",1978,"control_1974-1983",12
"17","106306_01",1978,"control_1974-1983",16
"18","106306_02",1978,"control_1974-1983",6
"19","106306_03",1978,"control_1974-1983",10
"20","107670_01",1978,"control_1974-1983",14
"21","107670_03",1978,"control_1974-1983",20
"22","118284_03",1980,"impact_1974-1983",16
"23","118284_02",1980,"impact_1974-1983",6
"24","118284_04",1980,"impact_1974-1983",6
"25","123299_01",1981,"control_1974-1983",20
"26","123299_03",1981,"control_1974-1983",18
"27","123299_04",1981,"control_1974-1983",28
"28","134807_03",1984,"impact_1984-1993",6
"29","134807_04",1984,"impact_1984-1993",18
"30","134807_02",1984,"impact_1984-1993",24
"31","136201_04",1984,"control_1984-1993",36
"32","136201_03",1984,"control_1984-1993",10
"33","136201_02",1984,"control_1984-1993",16
"34","136260_04",1984,"impact_1984-1993",6
"35","136270_01",1984,"impact_1984-1993",22
"36","138252_01",1984,"impact_1984-1993",8
"37","138252_02",1984,"impact_1984-1993",8
"38","138252_03",1984,"impact_1984-1993",10
"39","140276_04",1985,"control_1984-1993",8
"40","140287_02",1985,"control_1984-1993",26
"41","140287_03",1985,"control_1984-1993",12
"42","140287_04",1985,"control_1984-1993",12
"43","162851_01",1992,"control_1984-1993",8
"44","184734_04",1997,"control_1994-2003",14
"45","186190_01",1998,"control_1994-2003",6
"46","186190_03",1998,"control_1994-2003",12
"47","189551_03",1999,"impact_1994-2003",50
"48","189551_01",1999,"impact_1994-2003",6
"49","189551_02",1999,"impact_1994-2003",16
"50","189551_04",1999,"impact_1994-2003",30
"51","190342_04",2000,"impact_1994-2003",14
"52","192778_03",2001,"impact_1994-2003",42
"53","192778_01",2001,"impact_1994-2003",26
"54","192778_02",2001,"impact_1994-2003",44
"55","192778_04",2001,"impact_1994-2003",20
"56","196451_03",2003,"control_1994-2003",8
"57","197192_02",2004,"control_2004-2013",12
"58","197192_03",2004,"control_2004-2013",12
"59","197192_04",2004,"control_2004-2013",12
"60","197245_01",2004,"impact_2004-2013",26
"61","197245_02",2004,"impact_2004-2013",12
"62","197245_03",2004,"impact_2004-2013",16
"63","197703_01",2004,"control_2004-2013",8
"64","197703_03",2004,"control_2004-2013",10
"65","197744_01",2004,"impact_2004-2013",12
"66","197744_03",2004,"impact_2004-2013",6
"67","197744_02",2004,"impact_2004-2013",6
"68","198603_03",2005,"impact_2004-2013",8
"69","198613_03",2005,"impact_2004-2013",8
