OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,YearCollected,MonthCollected,DayCollected,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,Measure,ResultSampleFractionText,Result,Unit,Unit_full,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400013,Sample-Routine,Water,Surface Water,1964,2,1,2/1/64,,,2/10/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10598670,,,Nitrate,Total,0.04,mg/L,mg/l as N,,Historical,,Actual,,,,,,,,,,,620,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400013,Sample-Routine,Water,Surface Water,1964,2,1,2/1/64,,,2/10/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10598688,,,Nitrate,Total,0.2,mg/L,mg/l asNO3,,Historical,,Actual,,,,,,,,,,,71850,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599027,,,Nitrate,Total,0.07,mg/L,mg/l as N,,Historical,,Actual,,,,,,,,,,,620,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599045,,,Nitrate,Total,0.3,mg/L,mg/l asNO3,,Historical,,Actual,,,,,,,,,,,71850,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585475,,,Nitrate,Total,0.11,mg/L,mg/l as N,,Historical,,Actual,,,,,,,,,,,620,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585493,,,Nitrate,Total,0.5,mg/L,mg/l asNO3,,Historical,,Actual,,,,,,,,,,,71850,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300025,Sample-Routine,Water,Surface Water,1963,7,1,7/1/63,,,7/10/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585504,,,Nitrate,Total,0.2,mg/L,mg/l as N,,Historical,,Actual,,,,,,,,,,,620,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300025,Sample-Routine,Water,Surface Water,1963,7,1,7/1/63,,,7/10/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585522,,,Nitrate,Total,0.9,mg/L,mg/l asNO3,,Historical,,Actual,,,,,,,,,,,71850,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400016,Sample-Routine,Water,Surface Water,1964,3,1,3/1/64,,,3/10/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10598759,,,Nitrate,Total,0.04,mg/L,mg/l as N,,Historical,,Actual,,,,,,,,,,,620,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400016,Sample-Routine,Water,Surface Water,1964,3,1,3/1/64,,,3/10/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10598777,,,Nitrate,Total,0.2,mg/L,mg/l asNO3,,Historical,,Actual,,,,,,,,,,,71850,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400032,Sample-Routine,Water,Surface Water,1964,8,5,8/5/64,12:00:00,CST,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599123,,,Nitrate,Total,0.11,mg/L,mg/l as N,,Historical,,Actual,,,,,,,,,,,620,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400032,Sample-Routine,Water,Surface Water,1964,8,5,8/5/64,12:00:00,CST,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599141,,,Nitrate,Total,0.5,mg/L,mg/l asNO3,,Historical,,Actual,,,,,,,,,,,71850,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400025,Sample-Routine,Water,Surface Water,1964,6,1,6/1/64,,,6/10/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10598980,,,Nitrate,Total,0.16,mg/L,mg/l as N,,Historical,,Actual,,,,,,,,,,,620,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400025,Sample-Routine,Water,Surface Water,1964,6,1,6/1/64,,,6/10/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10598998,,,Nitrate,Total,0.7,mg/L,mg/l asNO3,,Historical,,Actual,,,,,,,,,,,71850,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400022,Sample-Routine,Water,Surface Water,1964,5,11,5/11/64,,,5/17/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10598893,,,Nitrate,Total,0.43,mg/L,mg/l as N,,Historical,,Actual,,,,,,,,,,,620,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400022,Sample-Routine,Water,Surface Water,1964,5,11,5/11/64,,,5/17/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10598911,,,Nitrate,Total,1.9,mg/L,mg/l asNO3,,Historical,,Actual,,,,,,,,,,,71850,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400008,Sample-Routine,Water,Surface Water,1963,12,11,12/11/63,,,12/20/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10598525,,,Nitrate,Total,0.23,mg/L,mg/l as N,,Historical,,Actual,,,,,,,,,,,620,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400008,Sample-Routine,Water,Surface Water,1963,12,11,12/11/63,,,12/20/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10598543,,,Nitrate,Total,1,mg/L,mg/l asNO3,,Historical,,Actual,,,,,,,,,,,71850,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400011,Sample-Routine,Water,Surface Water,1964,1,11,1/11/64,,,1/20/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10598612,,,Nitrate,Total,0.14,mg/L,mg/l as N,,Historical,,Actual,,,,,,,,,,,620,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400011,Sample-Routine,Water,Surface Water,1964,1,11,1/11/64,,,1/20/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10598630,,,Nitrate,Total,0.6,mg/L,mg/l asNO3,,Historical,,Actual,,,,,,,,,,,71850,,,,,,,,,,,,,,,,,,,,,,,NWIS
