,InstitutionCode,CollectionCode,CatalogNumber,IndividualCount,ScientificName,Family,PreparationType,Tissues,Latitude,Longitude,CoordinateUncertaintyInMeters,HorizontalDatum,Country,StateProvince,County,Island,IslandGroup,Locality,VerbatimElevation,VerbatimDepth,YearCollected,MonthCollected,DayCollected,Collector,GeorefMethod,LatLongComments,BasisOfRecord,Remarks,DateLastModified,CI,decade,IndividualFishID,Dissector_and_Examiner,DissectionDate,Sex,TotalLength_mm,StandardLength_mm,Weight_mg,NotesOnSpecimenPriorToDissection,Date_Datasheet_Completed,ParasitesFound,TREM.METAGS.SKIN,myxo.thel.Skin,BuccalCavity,TREM.MET.BodyCavity,CYST.UNK.PectoralFin,TREM.BUC.PectoralFin,TREM.MET.AF.PectoralFin,TREM.METAF.PelvicFin,CYST.UNK.AnalFin,META.UNK.AnalFin,TREM.METAF.AnalFin,trem.buc.AnalFin,trem.buc.CaudalFin,trem.metaf.caudalfin,TREM.MET.CaudalFin,TREM.METAGS.CaudalFin,META.HS.CaudalFin,META.UNK.CAUDALFIN,META.UNK.DorsalFin,CYST.UNK.CaudalFin,MYXO.THEL.CaudalFin,MYXO.THEL.dorsalFIN,MYX.GO.GONAD,TREM.METAGS.Liver,TREM.MET.LIVER,META.UNK.LIVER,Spleen,TREM.MET.Kidney,TREM.METAGS.Kidney,MYXO.GO.Kidney,META.UNK.EYE,CYST.LB.EYE,CYST.UNK.Eye,MYXO.GO.Eye,Heart,CYST.EMPTY.Stomach,TREM.METAGS.Stomach,NEM.CONA.CONNECTIVETISSUES,NEM.CYST.CONNECTIVETISSUE,TREM.MET.ConnectiveTissue,TREM.METAGS.CONNECTIVETISSUE,meta.unkn.connectivetissue,CYST.UNK.CONNECTIVETISSUES,CYST.EMPTY.ConnectiveTissue,MYX.GO.CONNECTIVETISSUE,MYXO.THEL.ConnectiveTissue,MYXO.UNK Connective Tissue,cest.godz.intestine,CEST.VIT.INTESTINE,CEST.PEA.Intestine,CEST.UNK.Intestine,TREM.MET.Intestine,TREM.MET.GS.Intestine,meta.unkn.intestine,NEM.CONA.Intestine,NEM.TRBK intestine,TREM.METAGS.GILL,TREM.METAF.GILL,TREM.MET.GILL,META.UNK.GILL,MONO.DACT.GILL,MONO.GYRO.Gill,MYXO.THEL.GILL,MYXO.SBAD.GILL,MYXO.BC.GILL,MYXO.UNK GILL,CYST.LB.GILL,cyst.unkn.gill,COP.GRAB.GILL,CEST.L.FLUSH,TREM.METAGS.FLUSH,TREM.MET.FLUSH,TREM.META.UCC.Flush,TREM.MS.FLUSH,NEM.LARV.Flush,MONO.GYRO.Flush,WORM.A.Flush,NEM.CONA.VOUCH,NEM.CYST.VOUCH,NEM.LARV.VOUCH,NEM.TRBK VOUCH,CEST.GODZ.VOUCH,CEST.VIT.VOUCH,CEST.L.VOUCH,CEST.PEA VOUCH,CEST.UNK,TREM.METAGS.VOUCH,TREM.MET.VOUCH,TREM.METAF.VOUCH,TREM.META.UCC.VOUCHERED,TREM.BUC.VOUCHED,TREM.MS.VOUCHERED,META.UNK.VOUCH,MONO.DACT.VOUCH,MONO.GYRN.VOUCH,MYX.GO.VOUCH,MYXO.THEL.VOUCH,MYXO.SBAD.VOUCH,MYXO.BC VOUCH,WORM.A.VOUCH,CYST.EMPTY.VOUCH,CYST.LB.VOUCH,CYST.UNK.VOUCH,COP.GRAB.VOUCHERED
6891,TU,Fish,140348,55,Pimephales vigilax,Cyprinidae,NA,NA,30.705,-89.84611,NA,NA,United States of America,Mississippi,Pearl River,NA,NA,Pearl River along left bank just above Pools Bluff Sill.,NA,NA,1985,4,25,R.D. Suttkus & K.G. Goodfellow,NA,NA,PreservedSpecimen,,NA,impact,1984-1993,140348_01,KL,07/12/23,NA,81,68,na,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TU,,70599,29,Pimephales vigilax,,,,,,,,,,,,,Pearl River at Sand Bar below mouth,,,1971,7,15,SUTTKUS AND THOMPSON,,,,,,,1964-1973,70599_03,SD DD,04/30/2024,NA,83,69,na,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
,TU,,70599,29,Pimephales vigilax,,,,,,,,,,,,,Pearl River at Sand Bar below mouth,,,1971,7,15,SUTTKUS AND THOMPSON,,,,,,,1964-1973,70599_02,SD DD,04/30/2024,F,68,57,na,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TU,,70599,29,Pimephales vigilax,,,,,,,,,,,,,Pearl River at Sand Bar below mouth,,,1971,7,15,SUTTKUS AND THOMPSON,,,,,,,1964-1973,70599_01,SD DD,04/30/2024,NA,60,50,na,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TU,,70599,29,Pimephales vigilax,,,,,,,,,,,,,Pearl River at Sand Bar below mouth,,,1971,7,15,SUTTKUS AND THOMPSON,,,,,,,1964-1973,70599_04,SD ACL KL,04/30/2024,F,71,57,na,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,TU,,184043,29,Pimephales vigilax,,,,,,,,,,,,,Pearl River along right bank,,,1997,6,28,RD and JS Suttkus,,,,,,,1994-2003,184043_02,sd cjw,04/30/2024,na,65,53,na,"Notes on datasheet: ""many"" CYST.UNKN in gill, but no number given",,,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0
,TU,,184043,29,Pimephales vigilax,,,,,,,,,,,,,Pearl River along right bank,,,1997,6,28,RD and JS Suttkus,,,,,,,1994-2003,184043_01,sd kl,04/30/2024,f,64,53,na,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TU,,184043,29,Pimephales vigilax,,,,,,,,,,,,,Pearl River along right bank,,,1997,6,28,RD and JS Suttkus,,,,,,,1994-2003,184043_04,sd acl gmc,04/30/2024,f,64,52,na,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0
,TU,,184043,29,Pimephales vigilax,,,,,,,,,,,,,Pearl River along right bank,,,1997,6,28,RD and JS Suttkus,,,,,,,1994-2003,184043_03,SD KL,04/30/2024,NA,47,38,na,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,6,0
,TU,,31254,14,Pimephales vigilax,,,,,,,,,,,,,pearl river,,,1963,7,11,Suttkus and Gunning,,,,,,,1954-1963,31254_01,hmt acl dd,05/06/2024,na,68,57,na,,,,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0
