0,DATE,beg,Year,end,Month,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
0,d_18950101,d_1895,1895,0101,01,0,0,0,0,0,100,0,0,0,0,0
0,d_18950201,d_1895,1895,0201,02,0,0,0,0,0,100,0,0,0,0,0
0,d_18950301,d_1895,1895,0301,03,0,0,0,0,0,100,0,0,0,0,0
0,d_18950401,d_1895,1895,0401,04,0,0,0,0,0,100,0,0,0,0,0
0,d_18950501,d_1895,1895,0501,05,0,0,0,0,0,100,0,0,0,0,0
0,d_18950601,d_1895,1895,0601,06,0,0,0,0,0,100,0,0,0,0,0
0,d_18950701,d_1895,1895,0701,07,0,0,0,0,0,100,0,0,0,0,0
0,d_18950801,d_1895,1895,0801,08,0,0,0,0,0,100,0,0,0,0,0
54.3,d_18950901,d_1895,1895,0901,09,9.8,1.3,0,0,0,0,36,14.6,1,0.3,0
68.1,d_18951001,d_1895,1895,1001,10,28.9,16,2.4,0.4,0,0,3.1,0.8,0,0,0
73.1,d_18951101,d_1895,1895,1101,11,22.9,10.3,0.6,0,0,0,4,1.4,0.4,0.2,0
54.1,d_18951201,d_1895,1895,1201,12,44.6,22.4,3.5,0.8,0,0,1.3,0.4,0,0,0
28.7,d_18960101,d_1896,1896,0101,01,71.1,47.6,8.9,1.3,0.1,0,0.1,0,0,0,0
38.8,d_18960201,d_1896,1896,0201,02,59.6,29.2,5.5,1.7,0.4,0,1.5,0.5,0,0,0
33.3,d_18960301,d_1896,1896,0301,03,66.2,37.4,5.6,1.1,0.2,0,0.5,0,0,0,0
14.6,d_18960401,d_1896,1896,0401,04,85.3,53.3,13.4,3.5,0.4,0,0,0,0,0,0
11.3,d_18960501,d_1896,1896,0501,05,88.7,73.5,28.1,9.9,2.4,0,0,0,0,0,0
41.3,d_18960601,d_1896,1896,0601,06,53.9,32.6,8.1,3.8,1.5,0,4.8,0,0,0,0
64,d_18960701,d_1896,1896,0701,07,24.6,12.7,2.4,0.9,0,0,11.5,5,1.3,0,0
59.7,d_18960801,d_1896,1896,0801,08,37.5,18.1,4.3,1.2,0,0,2.7,0,0,0,0
48.7,d_18960901,d_1896,1896,0901,09,44.9,24,3.9,0.8,0,0,6.5,3.2,0,0,0
43.8,d_18961001,d_1896,1896,1001,10,51.4,25,4.9,0.9,0,0,4.9,1,0,0,0
44.4,d_18961101,d_1896,1896,1101,11,53.3,23.5,2.3,0.2,0,0,2.2,0,0,0,0
52,d_18961201,d_1896,1896,1201,12,46.5,28.7,13.6,5,1.7,0,1.5,0.1,0,0,0
51.4,d_18970101,d_1897,1897,0101,01,47.1,29,12,5.4,0.9,0,1.3,0.1,0,0,0
51,d_18970201,d_1897,1897,0201,02,24.6,18.7,7.9,4.3,0.6,0,24.5,11.3,1.1,0.1,0
38.3,d_18970301,d_1897,1897,0301,03,29.8,22.3,3.4,0.5,0,0,31.9,18.8,2.2,0,0
51.2,d_18970401,d_1897,1897,0401,04,29,13.7,1.3,0,0,0,19.7,7.7,0,0,0
49.9,d_18970501,d_1897,1897,0501,05,28.1,14.5,5.1,1.7,0,0,22,6.1,0,0,0
47.4,d_18970601,d_1897,1897,0601,06,29.9,15,5.3,2.4,0,0,22.7,9.2,0,0,0
50.8,d_18970701,d_1897,1897,0701,07,21.6,14.3,6,4,0.1,0,27.5,6.7,0,0,0
59.2,d_18970801,d_1897,1897,0801,08,27,13.6,4.9,2.2,0.2,0,13.9,4.4,0,0,0
49.8,d_18970901,d_1897,1897,0901,09,28.3,17.5,5.8,1.3,0,0,21.9,7,0.2,0,0
44.8,d_18971001,d_1897,1897,1001,10,24.2,12.1,5.4,2.9,0.6,0,31.1,17.8,3,0.8,0
43,d_18971101,d_1897,1897,1101,11,48.3,33.1,11.9,6.6,1.3,0,8.8,1.3,0,0,0
17.2,d_18971201,d_1897,1897,1201,12,70.4,57.8,30.9,17.8,5.4,0,12.3,4.9,0.4,0,0
19.4,d_18980101,d_1898,1898,0101,01,78.7,69.7,40.3,26.3,14,0,2,0.5,0,0,0
14.9,d_18980201,d_1898,1898,0201,02,80.1,73.2,56.3,43.5,24.9,0,5.2,0.5,0,0,0
14,d_18980301,d_1898,1898,0301,03,82.7,76.6,59.1,43.9,21.4,0,3.2,0.4,0,0,0
13.5,d_18980401,d_1898,1898,0401,04,85.1,75.7,52.8,36.1,11.1,0,1.4,0.9,0.3,0,0
5.3,d_18980501,d_1898,1898,0501,05,93.8,86.2,57.9,40.6,28.2,0,0.9,0.6,0,0,0
7.6,d_18980601,d_1898,1898,0601,06,91.8,85.8,66,52.6,30.5,0,0.7,0,0,0,0
14.4,d_18980701,d_1898,1898,0701,07,85.6,74.3,48,34.5,10.1,0,0,0,0,0,0
48.5,d_18980801,d_1898,1898,0801,08,46.2,23.1,3.7,1.3,0.3,0,5.3,3,1,0.3,0
54.4,d_18980901,d_1898,1898,0901,09,38.9,20.4,5.2,2.3,0.8,0,6.8,2.9,0.8,0.2,0
57.3,d_18981001,d_1898,1898,1001,10,16.2,8.6,2.3,0.8,0.2,0,26.5,12.6,4.6,3,0.7
35.5,d_18981101,d_1898,1898,1101,11,3.8,1.8,0,0,0,0,60.7,40.2,17.7,8.4,5.4
20.9,d_18981201,d_1898,1898,1201,12,4.3,2,0.2,0,0,0,74.6,54.2,23.5,13.3,7.5
16.4,d_18990101,d_1899,1899,0101,01,2.9,0.9,0,0,0,0,80.8,65.8,33,20.1,8.8
4.6,d_18990201,d_1899,1899,0201,02,0.5,0,0,0,0,0,94.7,89.4,64.8,51.7,31.1
4.6,d_18990301,d_1899,1899,0301,03,0,0,0,0,0,0,95.3,89,71.5,54.8,35.1
13.6,d_18990401,d_1899,1899,0401,04,0.2,0,0,0,0,0,86.2,79,56.5,37.9,18.5
35,d_18990501,d_1899,1899,0501,05,4.8,1,0,0,0,0,60.1,44.7,8.8,2.3,0.9
35.4,d_18990601,d_1899,1899,0601,06,10.6,5.7,0.7,0.2,0,0,54.1,37.9,11.7,3.1,0.2
52.3,d_18990701,d_1899,1899,0701,07,12.7,6.3,1.1,0.5,0,0,34.9,25.9,7,2.5,0
39,d_18990801,d_1899,1899,0801,08,33.5,17.6,5,2.2,0.8,0,27.6,15.9,4.4,1.5,0.1
32,d_18990901,d_1899,1899,0901,09,41.8,31.5,12.1,6.5,2,0,26.1,12.5,2.4,0.1,0
29.1,d_18991001,d_1899,1899,1001,10,44.1,34.8,17.9,11.7,5,0,26.8,13.5,5.2,1.1,0
30.5,d_18991101,d_1899,1899,1101,11,63.3,51.7,34.2,21.6,8.1,0,6.1,2.1,0,0,0
26.3,d_18991201,d_1899,1899,1201,12,72.1,64.1,39.2,18.5,6.9,0,1.6,0.3,0,0,0
25.8,d_19000101,d_1900,1900,0101,01,73.1,66.3,42.3,22.7,6.2,0,1,0.1,0,0,0
50.9,d_19000201,d_1900,1900,0201,02,41.5,22.9,5.1,2.7,0.5,0,7.5,0.5,0,0,0
61.3,d_19000301,d_1900,1900,0301,03,22.4,9.9,1.3,0.5,0,0,16.3,8.9,0.2,0,0
68.3,d_19000401,d_1900,1900,0401,04,4.3,1.5,0.3,0,0,0,27.4,13.5,0.3,0,0
76.4,d_19000501,d_1900,1900,0501,05,4.3,1.2,0.2,0,0,0,19.4,11.8,8.3,0,0
25.1,d_19000601,d_1900,1900,0601,06,0.4,0,0,0,0,0,74.4,54.2,25.5,6.4,0.1
39.8,d_19000701,d_1900,1900,0701,07,6.9,2.7,0.4,0,0,0,53.3,41.7,23.5,6.7,0.4
41.8,d_19000801,d_1900,1900,0801,08,9.8,2.9,0.2,0,0,0,48.3,37.5,21.9,6.9,1.9
39.4,d_19000901,d_1900,1900,0901,09,12.2,4.7,0,0,0,0,48.4,38.4,15.1,7.7,1.9
27.5,d_19001001,d_1900,1900,1001,10,11.2,6.9,0.4,0,0,0,61.2,49.6,26.6,18.4,7.6
40.7,d_19001101,d_1900,1900,1101,11,14.8,9.2,1,0,0,0,44.6,31.2,16.6,7.2,1.8
41.7,d_19001201,d_1900,1900,1201,12,12.4,7,0.3,0,0,0,46,33.1,18.4,9.4,2.7
53.4,d_19010101,d_1901,1901,0101,01,16.8,11.2,3.6,0.6,0,0,29.8,18.9,4.8,1,0
44,d_19010201,d_1901,1901,0201,02,16.9,12,6.8,2.2,0.3,0,39,22.6,7.7,3.1,0.1
59,d_19010301,d_1901,1901,0301,03,29.8,19.3,7.6,1.5,0,0,11.1,1.8,0.1,0,0
69.4,d_19010401,d_1901,1901,0401,04,16.2,8.7,0.7,0,0,0,14.4,2.8,0.1,0,0
34,d_19010501,d_1901,1901,0501,05,6.7,2,0,0,0,0,59.2,37.5,3.1,0.7,0.2
19.6,d_19010601,d_1901,1901,0601,06,7.8,2.8,0,0,0,0,72.5,54,22.8,9.1,0.7
23.7,d_19010701,d_1901,1901,0701,07,13.8,8.8,3.6,0.9,0,0,62.5,45.3,13.9,7,1.6
16.6,d_19010801,d_1901,1901,0801,08,4.6,1.8,0.1,0,0,0,78.6,70,44.1,24.6,9.9
21.2,d_19010901,d_1901,1901,0901,09,3.7,0.6,0,0,0,0,75,66.5,32.5,19.3,11.4
24.9,d_19011001,d_1901,1901,1001,10,5.5,2.3,0.1,0,0,0,69.5,54.5,24.1,16.8,8.4
29.3,d_19011101,d_1901,1901,1101,11,10.4,3.6,0.5,0,0,0,60.3,44,23.8,18.1,10.9
39.3,d_19011201,d_1901,1901,1201,12,3.3,1.3,0.3,0,0,0,57.4,42.6,30.4,23.1,16.7
40.4,d_19020101,d_1902,1902,0101,01,13.6,4.9,1,0.5,0,0,46,34.5,21.7,14.7,7
38.9,d_19020201,d_1902,1902,0201,02,10.3,4.7,1.3,0.5,0,0,51,40.3,20.9,12.2,4
33.3,d_19020301,d_1902,1902,0301,03,5.3,3.7,1.7,0.9,0.1,0,61.4,45.1,21.6,9,1.8
39.1,d_19020401,d_1902,1902,0401,04,7.2,4,1.6,0.8,0,0,53.6,38,10.6,3.4,0.8
59.2,d_19020501,d_1902,1902,0501,05,33.9,16.5,2.2,0.5,0,0,6.9,1.3,0,0,0
48,d_19020601,d_1902,1902,0601,06,51.8,32.8,4,1,0,0,0.2,0,0,0,0
41.3,d_19020701,d_1902,1902,0701,07,57.7,35.4,6.3,1.2,0,0,0.9,0,0,0,0
48.7,d_19020801,d_1902,1902,0801,08,49.4,28,9.6,2.9,0.3,0,1.8,0.1,0,0,0
37.1,d_19020901,d_1902,1902,0901,09,59.3,37.2,10.5,3.4,0.1,0,3.5,0,0,0,0
49.9,d_19021001,d_1902,1902,1001,10,30.8,13,2.3,0.3,0,0,19.4,9.6,0.6,0,0
36.8,d_19021101,d_1902,1902,1101,11,47.9,27.8,6.7,1.4,0,0,15.1,9,0.6,0,0
31.7,d_19021201,d_1902,1902,1201,12,58.7,37.1,9.7,3.8,0.7,0,9.6,3.3,0.2,0,0
44.8,d_19030101,d_1903,1903,0101,01,41.7,25.8,7.5,2.8,0.3,0,13.5,9.1,0.7,0.2,0
53,d_19030201,d_1903,1903,0201,02,3.2,0.7,0,0,0,0,43.8,24.9,3.3,0.7,0.2
29,d_19030301,d_1903,1903,0301,03,0.2,0.1,0,0,0,0,70.8,51.2,14.8,3.9,0.4
26.2,d_19030401,d_1903,1903,0401,04,0,0,0,0,0,0,73.8,55.8,20.5,5.9,0.5
13.3,d_19030501,d_1903,1903,0501,05,0,0,0,0,0,0,86.8,67.1,29.5,10.4,3.5
17.7,d_19030601,d_1903,1903,0601,06,0,0,0,0,0,0,82.4,71.7,32.7,16.1,2.8
27.2,d_19030701,d_1903,1903,0701,07,0.6,0,0,0,0,0,72.2,46.7,8.9,1.8,0
27.9,d_19030801,d_1903,1903,0801,08,0.2,0,0,0,0,0,71.9,46.7,7.6,0.5,0
38.7,d_19030901,d_1903,1903,0901,09,4,0.8,0,0,0,0,57.3,39,6,0.6,0
44.5,d_19031001,d_1903,1903,1001,10,7.1,2.2,0,0,0,0,48.3,29.9,6.4,1.3,0
51.5,d_19031101,d_1903,1903,1101,11,26.9,17.5,9.5,5.7,1.7,0,21.5,10.9,3.3,0.8,0
