"","fish_psite_combo","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","Dissector_and_Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","psite_spp.x","psite_count","scaled_TL_mm","Fish_sp.x","psite_spp.y","Fish_sp.y","Life_History","Parasite_taxonomic_group"
"1","Ictalurus punctatus_ACAN.OSTR","31060","1963",8,"30","31060-02","SC KL","6/25/2024",NA,52,41,"994","control","control_1954-1963","30.76222","-89.83111","ACAN.OSTR",0,-1.11347077632056,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"2","Ictalurus punctatus_ACAN.OSTR","31060","1963",8,"30","31060_1","SC GMC","6/25/2024",NA,51,39,"875","control","control_1954-1963","30.76222","-89.83111","ACAN.OSTR",0,-1.15351073554986,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"3","Ictalurus punctatus_ACAN.OSTR","31146","1963",6,"23","31146_01","SC DJB CJW","6/26/2024",NA,42,34,"552","impact","impact_1954-1963","30.75667","-89.82611","ACAN.OSTR",0,-1.51387036861361,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"4","Ictalurus punctatus_ACAN.OSTR","31146","1963",6,"23","31146_02","DJB CJW","6/27/2024",NA,44,34,"609","impact","impact_1954-1963","30.75667","-89.82611","ACAN.OSTR",0,-1.433790450155,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"5","Ictalurus punctatus_ACAN.OSTR","31177","1963",5,"20","31177_01","JT DJB/ GMC","6/26/2024","",100,75,"7371","impact","impact_1954-1963","30.75667","-89.82611","ACAN.OSTR",0,0.808447266686077,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"6","Ictalurus punctatus_ACAN.OSTR","31177","1963",5,"20","31177_02","JT DMDM","6/25/2024",NA,79,60,"3237","impact","impact_1954-1963","30.75667","-89.82611","ACAN.OSTR",0,-0.0323918771293252,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"7","Ictalurus punctatus_ACAN.OSTR","31181","1963",5,"19","31181_02","DJB DMDM","6/25/2024","F",109,82,"8770","control","control_1954-1963","30.76805","-89.83083","ACAN.OSTR",0,1.16880689974982,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"8","Ictalurus punctatus_ACAN.OSTR","31267","1963",7,"11","31267_02","KL","11/20/2023","na",65,49,NA,"impact","impact_1954-1963","30.74","-89.82777","ACAN.OSTR",0,-0.592951306339593,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"9","Ictalurus punctatus_ACAN.OSTR","31267","1963",7,"11","31267_01","chw kl gc cnw","11/20/2023","na",66,52,NA,"impact","impact_1954-1963","30.74","-89.82777","ACAN.OSTR",0,-0.552911347110289,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"10","Ictalurus punctatus_ACAN.OSTR","31542","1963",10,"24","31542_01","IJ GMC","6/25/2024",NA,90,78,"5064","impact","impact_1954-1963","30.74055","-89.82694","ACAN.OSTR",0,0.408047674393029,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"11","Ictalurus punctatus_ACAN.OSTR","31542","1963",10,"24","31542_02","SC DJB KL","6/25/2024",NA,80,65,"3533","impact","impact_1954-1963","30.74055","-89.82694","ACAN.OSTR",0,0.00764808209997972,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"12","Ictalurus punctatus_ACAN.OSTR","31804","1963",11,"14","31804_02","IJ JT CJW","6/26/2024",NA,109,90,"8310","impact","impact_1954-1963","30.705","-89.84611","ACAN.OSTR",0,1.16880689974982,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"13","Ictalurus punctatus_ACAN.OSTR","31804","1963",11,"14","31804_01","DJB IJ KL","6/26/2024",NA,99,70,"6317","impact","impact_1954-1963","30.705","-89.84611","ACAN.OSTR",0,0.768407307456772,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"14","Ictalurus punctatus_ACAN.OSTR","31808","1963",11,"14-15","31808_02","IJ SC KL","6/27/2024",NA,125,92,"14234","impact","impact_1954-1963","30.70222","-89.84417","ACAN.OSTR",0,1.8094462474187,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"15","Ictalurus punctatus_ACAN.OSTR","31808","1963",11,"14-15","31808_01","DJB SC CJW","6/27/2024",NA,129,97,"14151","impact","impact_1954-1963","30.70222","-89.84417","ACAN.OSTR",0,1.96960608433592,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"16","Ictalurus punctatus_ACAN.OSTR","37835","1965",5,"21","37835_01","IJ DJB KL","6/25/2024",NA,99,68,"5354","control","control_1964-1973","30.76805","-89.83083","ACAN.OSTR",0,0.768407307456772,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"17","Ictalurus punctatus_ACAN.OSTR","37835","1965",5,"21","37835_02","JT DJB KL","6/25/2024",NA,96,72,"4538","control","control_1964-1973","30.76805","-89.83083","ACAN.OSTR",0,0.648287429768858,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"18","Ictalurus punctatus_ACAN.OSTR","39300","1965",11,"19","39300_02","DJB JT KL","6/26/2024",NA,98,73,"6744","impact","impact_1964-1973","30.75667","-89.82611","ACAN.OSTR",0,0.728367348227468,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"19","Ictalurus punctatus_ACAN.OSTR","39300","1965",11,"19","39300_01","SC IJ KL GC","6/26/2024",NA,99,78,"5471","impact","impact_1964-1973","30.75667","-89.82611","ACAN.OSTR",0,0.768407307456772,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"20","Ictalurus punctatus_ACAN.OSTR","40125","1966",3,"17","40125_02","gmc cnw kl","1/23/2024","na",68,52,NA,"impact","impact_1964-1973","30.75667","-89.82611","ACAN.OSTR",0,-0.472831428651679,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"21","Ictalurus punctatus_ACAN.OSTR","40125","1966",3,"17","40125_01","ht kl sd gmc","1/23/2024","na",91,74,NA,"impact","impact_1964-1973","30.75667","-89.82611","ACAN.OSTR",0,0.448087633622333,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"22","Ictalurus punctatus_ACAN.OSTR","40616","1966",4,"22","40616_02","JT DJB GMC","6/25/2024",NA,52,39,"902","control","control_1964-1973","30.77861","-89.82972","ACAN.OSTR",0,-1.11347077632056,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"23","Ictalurus punctatus_ACAN.OSTR","40616","1966",4,"22","40616_01","SC DJB IJ","6/25/2024",NA,110,85,"7815","control","control_1964-1973","30.77861","-89.82972","ACAN.OSTR",0,1.20884685897913,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"24","Ictalurus punctatus_ACAN.OSTR","58071","1969",7,"14","58071_01","IJ DJB CJW","6/25/2024",NA,39,31,"4650","impact","impact_1964-1973","30.75667","-89.82611","ACAN.OSTR",0,-1.63399024630152,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"25","Ictalurus punctatus_ACAN.OSTR","58071","1969",7,"14","58071_02","JT KL ","6/25/2024",NA,49,38,"911","impact","impact_1964-1973","30.75667","-89.82611","ACAN.OSTR",0,-1.23359065400847,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"26","Ictalurus punctatus_ACAN.OSTR","59446","1969",10,"28","59446_01","IJ SC KL","6/27/2024",NA,77,56,"3048","control","control_1964-1973","30.76805","-89.83083","ACAN.OSTR",0,-0.112471795587935,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"27","Ictalurus punctatus_ACAN.OSTR","59446","1969",10,"28","59446_02","JT SC","6/27/2024",NA,96,71,"5169","control","control_1964-1973","30.76805","-89.83083","ACAN.OSTR",0,0.648287429768858,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
