"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","Dissector_and_Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","psite_spp","psite_count"
"1",145183,1986,4,24,"14583_03","JT DJB DMDM","08/13/2024",NA,37,29,"397","control","control_1984-1993",30.77583,-89.82722,"ACANTH.BLVE",0
"2",145183,1986,4,24,"14583_01","SC CJW KL","08/13/2024","F",36,28,"373","control","control_1984-1993",30.77583,-89.82722,"ACANTH.BLVE",0
"3",145183,1986,4,24,"14583_02","SC IJ GMC","08/13/2024","F",37,29,"448","control","control_1984-1993",30.77583,-89.82722,"ACANTH.BLVE",0
"4",145183,1986,4,24,"14583_04","SC GMC","08/13/2024","F",33,26,"265","control","control_1984-1993",30.77583,-89.82722,"ACANTH.BLVE",0
"5",30981,1963,11,21,"30981_01","ij djb cjw","08/08/2024","na",32,24,"236","impact","impact_1954-1963",30.705,-89.84611,"ACANTH.BLVE",0
"6",30981,1963,11,21,"30981_02","djb kl cjw","08/08/2024","na",30,25,"187","impact","impact_1954-1963",30.705,-89.84611,"ACANTH.BLVE",0
"7",30981,1963,11,21,"30981_03","sc djb gmc","08/08/2024","m",30,25,"193","impact","impact_1954-1963",30.705,-89.84611,"ACANTH.BLVE",0
"8",30981,1963,11,21,"30981_04","jt djb dmdm","08/08/2024","na",28,22,"185","impact","impact_1954-1963",30.705,-89.84611,"ACANTH.BLVE",0
"9",31064,1963,8,30,"31064_01","SC DMDM","08/13/2024",NA,30,24,"185","control","control_1954-1963",30.76222,-89.83111,"ACANTH.BLVE",0
"10",31064,1963,8,30,"31064_04","IJ KL","08/13/2024","M",29,23,"133","control","control_1954-1963",30.76222,-89.83111,"ACANTH.BLVE",0
"11",31064,1963,8,30,"31064_03","JT CJW","08/13/2024","F",30,24,"193","control","control_1954-1963",30.76222,-89.83111,"ACANTH.BLVE",0
"12",31064,1963,8,30,"31064_02","SC GMC","08/13/2024",NA,33,26,"267","control","control_1954-1963",30.76222,-89.83111,"ACANTH.BLVE",0
"13",31238,1963,9,29,"31238_03","DJB GMC","08/08/2024","na",34,28,"311","impact","impact_1954-1963",30.75667,-89.82611,"ACANTH.BLVE",0
"14",31238,1963,9,29,"31238_01","DJB DMDM","08/08/2024","F",32,26,"356","impact","impact_1954-1963",30.75667,-89.82611,"ACANTH.BLVE",0
"15",31238,1963,9,29,"31238_04","CJW","08/08/2024","F",33,27,"450","impact","impact_1954-1963",30.75667,-89.82611,"ACANTH.BLVE",0
"16",31238,1963,9,29,"31238_02","DJB GMC","08/08/2024","F",39,32,"765","impact","impact_1954-1963",30.75667,-89.82611,"ACANTH.BLVE",0
"17",31242,1963,9,29,"31242_04","DMDM KL","08/08/24",NA,39,33,"541","impact","impact_1954-1963",30.74,-89.82777,"ACANTH.BLVE",0
"18",31242,1963,9,29,"31242_01","KL CJW","08/08/24","F",37,30,"543","impact","impact_1954-1963",30.74,-89.82777,"ACANTH.BLVE",0
"19",31242,1963,9,29,"31242_03","kl gmc dmdm","08/08/2024","na",27,22,"151","impact","impact_1954-1963",30.74,-89.82777,"ACANTH.BLVE",0
"20",31242,1963,9,29,"31242_02","kl dmdm cjw","08/08/2024","f",35,27,"355","impact","impact_1954-1963",30.74,-89.82777,"ACANTH.BLVE",0
"21",31250,1963,9,29,"31250_04","SC DJB CJW","08/13/2024","F",27,21,"177","impact","impact_1954-1963",30.705,-89.84611,"ACANTH.BLVE",0
"22",31250,1963,9,29,"31250_01","SC CJW","08/13/2024","F",29,23,"207","impact","impact_1954-1963",30.705,-89.84611,"ACANTH.BLVE",0
"23",31250,1963,9,29,"31250_02","DJB IJ GMC","08/13/2024",NA,29,23,"241","impact","impact_1954-1963",30.705,-89.84611,"ACANTH.BLVE",0
"24",31250,1963,9,29,"31250_03","JT DMDM","08/13/2024",NA,29,23,"179","impact","impact_1954-1963",30.705,-89.84611,"ACANTH.BLVE",0
"25",31257,1963,7,11,"31257_03","SC GMC","08/13/2024","F",37,29,"431","control","control_1954-1963",30.76805,-89.83083,"ACANTH.BLVE",0
"26",31257,1963,7,11,"31257_04","SC DMDM","08/13/2024",NA,33,27,"254","control","control_1954-1963",30.76805,-89.83083,"ACANTH.BLVE",0
"27",31257,1963,7,11,"31257_01","SC DMDM","08/13/2024","F",40,31,"596","control","control_1954-1963",30.76805,-89.83083,"ACANTH.BLVE",0
"28",31257,1963,7,11,"31257_02","IJ KL DMDM","08/13/2024","F",35,28,"369","control","control_1954-1963",30.76805,-89.83083,"ACANTH.BLVE",0
"29",31272,1963,7,11,"31272_02","DJB JT DMDM","08/09/2024",NA,28,21,"143","impact","impact_1954-1963",30.705,-89.84611,"ACANTH.BLVE",0
"30",31272,1963,7,11,"31272_01","DJB CJW","08/09/2024","F",33,27,"354","impact","impact_1954-1963",30.705,-89.84611,"ACANTH.BLVE",0
"31",31272,1963,7,11,"31272_04","SC JT GMC","08/09/2024","F",33,26,"346","impact","impact_1954-1963",30.705,-89.84611,"ACANTH.BLVE",0
"32",31272,1963,7,11,"31272_03","IJ","08/09/2024","F",32,25,"279","impact","impact_1954-1963",30.705,-89.84611,"ACANTH.BLVE",0
"33",31538,1963,10,24,"31538_04","IJ DMDM","08/09/2024",NA,36,30,"440","impact","impact_1954-1963",30.75667,-89.82611,"ACANTH.BLVE",0
"34",31538,1963,10,24,"31538_01","DJB IJ DMDM","08/09/2024","F",34,27,"336","impact","impact_1954-1963",30.75667,-89.82611,"ACANTH.BLVE",0
"35",31538,1963,10,24,"31538_02","SC JT DMDM","08/09/2024","M",28,22,"154","impact","impact_1954-1963",30.75667,-89.82611,"ACANTH.BLVE",0
"36",31538,1963,10,24,"31538_03","DJB CJW","08/09/2024","F",35,27,"334","impact","impact_1954-1963",30.75667,-89.82611,"ACANTH.BLVE",0
"37",33223,1964,6,11,"33223_01","JT IJ","08/06/2024","F",41,33,"719","control","control_1964-1973",30.76805,-89.83083,"ACANTH.BLVE",0
"38",33223,1964,6,11,"33223_02","sc gmc","08/06/2024","F",42,32,"705","control","control_1964-1973",30.76805,-89.83083,"ACANTH.BLVE",0
"39",33223,1964,6,11,"33223_03","JT IJ CJW","08/06/2024","F",41,33,"742","control","control_1964-1973",30.76805,-89.83083,"ACANTH.BLVE",0
"40",33223,1964,6,11,"33223_04","SC GMC","08/06/2024",NA,40,32,"714","control","control_1964-1973",30.76805,-89.83083,"ACANTH.BLVE",0
"41",37941,1965,7,5,"37941_02","SC JT CJW","08/06/2024","F",30,24,"250","control","control_1964-1973",30.76805,-89.83083,"ACANTH.BLVE",0
"42",37941,1965,7,5,"37941_03","SC JT KL","08/06/2024","F",29,23,"207","control","control_1964-1973",30.76805,-89.83083,"ACANTH.BLVE",0
"43",37941,1965,7,5,"37941_01","SC JT CJW","08/06/2024","F",32,26,"261","control","control_1964-1973",30.76805,-89.83083,"ACANTH.BLVE",0
"44",40083,1966,3,17,"40083_03","SC JT CJW","08/06/2024","F",38,29,"524","impact","impact_1964-1973",30.70222,-89.84417,"ACANTH.BLVE",0
"45",40083,1966,3,17,"40083_04","DJB IJ DMDM","08/06/2024",NA,40,32,"533","impact","impact_1964-1973",30.70222,-89.84417,"ACANTH.BLVE",1
"46",40083,1966,3,17,"40083_02","DJB JT GMC","08/06/2024",NA,35,28,"359","impact","impact_1964-1973",30.70222,-89.84417,"ACANTH.BLVE",0
"47",40083,1966,3,17,"40083_01","SC JT DMDM","08/06/2024","F",36,29,"401","impact","impact_1964-1973",30.70222,-89.84417,"ACANTH.BLVE",0
"48",40393,1966,4,2,"40393_03","CJW","08/13/2024","F",33,26,"278","impact","impact_1964-1973",30.70222,-89.84417,"ACANTH.BLVE",0
"49",40393,1966,4,2,"40393_02","CJW KL ","08/13/2024","F",32,24,"250","impact","impact_1964-1973",30.70222,-89.84417,"ACANTH.BLVE",0
"50",40393,1966,4,2,"40393_01","SC CJW","08/13/2024","F",30,24,"205","impact","impact_1964-1973",30.70222,-89.84417,"ACANTH.BLVE",0
"51",40393,1966,4,2,"40393_04","JT IJ DMDM","08/13/2024",NA,34,27,"323","impact","impact_1964-1973",30.70222,-89.84417,"ACANTH.BLVE",0
"52",40980,1966,7,3,"40980_04","JT DMDM","08/13/2024","F",42,33,"878","control","control_1964-1973",30.76805,-89.83083,"ACANTH.BLVE",0
"53",40980,1966,7,3,"40980_01","IJ GMC","08/13/2024","F",46,34,"1135","control","control_1964-1973",30.76805,-89.83083,"ACANTH.BLVE",0
"54",40980,1966,7,3,"40980_03","SC CJW","08/13/2024","F",53,44,"1901","control","control_1964-1973",30.76805,-89.83083,"ACANTH.BLVE",0
"55",40980,1966,7,3,"40980_02","JT CJW","08/13/2024","F",35,28,"488","control","control_1964-1973",30.76805,-89.83083,"ACANTH.BLVE",0
"56",42432,1966,11,27,"42432_01","JT GMC","08/08/2024",NA,31,24,"237","impact","impact_1964-1973",30.70222,-89.84417,"ACANTH.BLVE",0
"57",42432,1966,11,27,"42432_02","JT CJW","08/08/2024","F",30,23,"257","impact","impact_1964-1973",30.70222,-89.84417,"ACANTH.BLVE",0
"58",42432,1966,11,27,"42432_03","JT CJW","08/08/2024","F",38,29,"485","impact","impact_1964-1973",30.70222,-89.84417,"ACANTH.BLVE",0
"59",42432,1966,11,27,"42432_04","JT CJW","08/08/2024","F",34,27,"361","impact","impact_1964-1973",30.70222,-89.84417,"ACANTH.BLVE",0
"60",68702,1971,4,20,"68702_01","IJ DJB DMDM","08/08/2024",NA,32,27,"366","control","control_1964-1973",30.77861,-89.82972,"ACANTH.BLVE",0
"61",68702,1971,4,20,"68702_02","JT DMDM","08/08/2024","F",41,31,"656","control","control_1964-1973",30.77861,-89.82972,"ACANTH.BLVE",0
"62",68702,1971,4,20,"68702_03","DJB GMC","08/08/2024",NA,40,32,"674","control","control_1964-1973",30.77861,-89.82972,"ACANTH.BLVE",0
"63",68702,1971,4,20,"68702_04","DJB DMDM","08/08/2024",NA,35,23,"359","control","control_1964-1973",30.77861,-89.82972,"ACANTH.BLVE",0
