"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","Dissector_and_Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","psite_spp","psite_count"
"1","175623",1995,7,29,"175623_04","DJB IJ ","07/18/2024",NA,51,40,"1184","impact","impact_1994-2003","30.75417","-89.82694","ACAN.AD",0
"2","30995",1963,12,12,"30995_02","SC CJW","07/18/2024",NA,84,68,"5293","control","control_1954-1963","30.77861","-89.82972","ACAN.AD",0
"3","30995",1963,12,12,"30995_01","JT DMDM KL","07/08/2024","na",78,60,"3996","control","control_1954-1963","30.77861","-89.82972","ACAN.AD",0
"4","30995",1963,12,12,"30995_04","sc ij dmdm","07/18/2024","f",88,70,"6293","control","control_1954-1963","30.77861","-89.82972","ACAN.AD",0
"5","30995",1963,12,12,"30995_03","JT IJ GMC","07/18/2024","na",83,65,"4592","control","control_1954-1963","30.77861","-89.82972","ACAN.AD",0
"6","31084",1964,2,20,"31084_03","IJ DJB KL","07/19/2024","F",92,72,"6452","control","control_1964-1973","30.77861","-89.82972","ACAN.AD",0
"7","31084",1964,2,20,"31084_04","SC DJB GMC","07/19/2024",NA,93,77,"4966","control","control_1964-1973","30.77861","-89.82972","ACAN.AD",0
"8","31084",1964,2,20,"31084_02","sc ij cjw","07/19/2024","na",93,74,"7820","control","control_1964-1973","30.77861","-89.82972","ACAN.AD",0
"9","31084",1964,2,20,"31084_01","dmdm gmc","07/19/2024","f",92,71,"6352","control","control_1964-1973","30.77861","-89.82972","ACAN.AD",0
"10","31145",1963,6,23,"31145_03","djb cjw","07/22/2024","na",67,52,"2270","control","control_1954-1963","30.77861","-89.82972","ACAN.AD",0
"11","31145",1963,6,23,"31145_02","sc jt gmc","07/22/2024","na",65,54,"2017","control","control_1954-1963","30.77861","-89.82972","ACAN.AD",0
"12","31145",1963,6,23,"31145_01","JT CJW","07/22/2024","na",70,53,"2608","control","control_1954-1963","30.77861","-89.82972","ACAN.AD",0
"13","31145",1963,6,23,"31145_04","djb dmdm","07/22/2024","na",44,35,"657","control","control_1954-1963","30.77861","-89.82972","ACAN.AD",0
"14","31194",1963,5,19,"31194_03","SD GMC","04/02/2024",NA,69,52,"","control","control_1954-1963","30.77861","-89.82972","ACAN.AD",0
"15","31194",1963,5,19,"31194_02","SD CJW","04/02/2024",NA,74,61,"","control","control_1954-1963","30.77861","-89.82972","ACAN.AD",0
"16","31194",1963,5,19,"31194_01","ht kl","04/01/2024","na",71,55,"","control","control_1954-1963","30.77861","-89.82972","ACAN.AD",0
"17","31194",1963,5,19,"31194_04","SD DD","04/02/2024","F",84,68,"","control","control_1954-1963","30.77861","-89.82972","ACAN.AD",0
"18","31296",1963,12,13,"31296_03","DD GMC","03/27/2024","F",105,85,"","impact","impact_1954-1963","30.70222","-89.84417","ACAN.AD",0
"19","31296",1963,12,13,"31296_04","dd ht kl","04/01/2024","f",106,81,"","impact","impact_1954-1963","30.70222","-89.84417","ACAN.AD",0
"20","31296",1963,12,13,"31296_02","kl","03/27/2024","f",77,62,"","impact","impact_1954-1963","30.70222","-89.84417","ACAN.AD",0
"21","31296",1963,12,13,"31296_01","gmc cjw","03/27/2024","f",113,89,"","impact","impact_1954-1963","30.70222","-89.84417","ACAN.AD",0
