"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","Dissector_and_Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","psite_spp","psite_count"
"1",27794,1965,2,12,"27794_03","KL","07/08/2024","na",59,48,"1010","control","control_1964-1973",30.77861,-89.82972,"CEST.COMP",0
"2",27794,1965,2,12,"27794_04","djb clw                                                                            ","07/07/2024","na",41,31,"272","control","control_1964-1973",30.77861,-89.82972,"CEST.COMP",0
"3",27794,1965,2,12,"27794_01","CJW","07/08/2024","F",60,47,"885","control","control_1964-1973",30.77861,-89.82972,"CEST.COMP",0
"4",27794,1965,2,12,"27794_02","dmdm","07/08/2024","na",58,44,"982","control","control_1964-1973",30.77861,-89.82972,"CEST.COMP",0
"5",31124,1963,4,26,"31124_02","GMC","07/04/2024","na",55,46,"86.8","impact","impact_1954-1963",30.70222,-89.84417,"CEST.COMP",0
"6",31124,1963,4,26,"31124_04","CLW","07/04/2024",NA,53,42,"804","impact","impact_1954-1963",30.70222,-89.84417,"CEST.COMP",0
"7",31124,1963,4,26,"31124_03","GMC","07/04/2024",NA,55,46,"231","impact","impact_1954-1963",30.70222,-89.84417,"CEST.COMP",0
"8",31124,1963,4,26,"31124_01","DJB CJW","07/04/2024","Na",50,42,"700","impact","impact_1954-1963",30.70222,-89.84417,"CEST.COMP",0
"9",31291,1963,12,13,"31291_01","HT DD","01/29/2024",NA,76,61,"","impact","impact_1954-1963",30.70222,-89.84417,"CEST.COMP",0
"10",31291,1963,12,13,"31291_03","HT GMC KL","01/29/2024",NA,87,70,"","impact","impact_1954-1963",30.70222,-89.84417,"CEST.COMP",0
"11",31291,1963,12,13,"31291_02","HT KL","01/29/2024",NA,80,66,"","impact","impact_1954-1963",30.70222,-89.84417,"CEST.COMP",0
"12",31291,1963,12,13,"31291_04","kl","01/31/2024","na",90,72,"","impact","impact_1954-1963",30.70222,-89.84417,"CEST.COMP",0
"13",34358,1964,9,11,"34358_03","DMDM","07/04/2024",NA,52,41,"722","impact","impact_1964-1973",30.74055,-89.82694,"CEST.COMP",0
"14",34358,1964,9,11,"34358_02","CJW","07/04/2024",NA,41,38,"53.4","impact","impact_1964-1973",30.74055,-89.82694,"CEST.COMP",0
"15",34358,1964,9,11,"34358_01","sc djb ij","07/04/2024","na",54,43,"82.5","impact","impact_1964-1973",30.74055,-89.82694,"CEST.COMP",0
"16",34358,1964,9,11,"34358_04","sc gmc","07/08/2024","na",44,36,"476","impact","impact_1964-1973",30.74055,-89.82694,"CEST.COMP",0
"17",34776,1964,10,16,"34776_04","BF CJW","06/28/2024",NA,61,52,"1582","impact","impact_1964-1973",30.74055,-89.82694,"CEST.COMP",0
"18",34776,1964,10,16,"34776_03","sc gmc dmdm","06/28/2024","na",52,45,"735","impact","impact_1964-1973",30.74055,-89.82694,"CEST.COMP",0
"19",34776,1964,10,16,"34776_02","DJR BF KL","06/28/2024",NA,63,48,"1443","impact","impact_1964-1973",30.74055,-89.82694,"CEST.COMP",0
"20",34776,1964,10,16,"34776_01","DJB KL DMDM","06/28/2024",NA,63,51,"1583","impact","impact_1964-1973",30.74055,-89.82694,"CEST.COMP",0
"21",41867,1966,10,17,"41867_01","ht cjw","02/26/2024","na",52,43,"","impact","impact_1964-1973",30.75667,-89.82611,"CEST.COMP",0
"22",41867,1966,10,17,"41867_02","HT GMC","02/26/2024",NA,44,31,"","impact","impact_1964-1973",30.75667,-89.82611,"CEST.COMP",0
"23",41867,1966,10,17,"41867_03","HT DD","02/26/2024",NA,51,39,"","impact","impact_1964-1973",30.75667,-89.82611,"CEST.COMP",0
"24",41867,1966,10,17,"41867_04","ht kl","02/26/24","m",52,39,"","impact","impact_1964-1973",30.75667,-89.82611,"CEST.COMP",0
"25",43849,1967,2,28,"43849_04","JT DJB GMC","07/02/2024","na",65,50,"1372","impact","impact_1964-1973",30.70222,-89.84417,"CEST.COMP",0
"26",43849,1967,2,28,"43849_02","JT SC KL","07/02/2024","na",69,55,"1932","impact","impact_1964-1973",30.70222,-89.84417,"CEST.COMP",0
"27",43849,1967,2,28,"43849_03","JT DJB CJW","07/02/2024","na",80,66,"3326","impact","impact_1964-1973",30.70222,-89.84417,"CEST.COMP",0
"28",43849,1967,2,28,"43849_01","DJB KL","07/02/2024","na",69,51,"1902","impact","impact_1964-1973",30.70222,-89.84417,"CEST.COMP",0
"29",49057,1967,12,7,"49057_01","kl","07/15/2023","na",87,72,"","impact","impact_1964-1973",30.70222,-89.84417,"CEST.COMP",0
"30",49057,1967,12,7,"49057_02","KL","07/15/2023",NA,78,65,"","impact","impact_1964-1973",30.70222,-89.84417,"CEST.COMP",0
"31",49057,1967,12,7,"49057_03","KL GMC","02/21/2024",NA,92,75,"","impact","impact_1964-1973",30.70222,-89.84417,"CEST.COMP",0
"32",49057,1967,12,7,"49057_04","kl dd cjw","02/21/2024","na",73,57,"","impact","impact_1964-1973",30.70222,-89.84417,"CEST.COMP",0
"33",49084,1967,12,16,"49084_04","GMC JT","07/08/2024","na",59,46,"946","impact","impact_1964-1973",30.70222,-89.84417,"CEST.COMP",0
"34",49084,1967,12,16,"49084_01","sc jt gmc","07/08/2024","na",59,50,"1030","impact","impact_1964-1973",30.70222,-89.84417,"CEST.COMP",0
"35",49084,1967,12,16,"49084_03","JT CJW","07/08/2024","na",54,45,"826","impact","impact_1964-1973",30.70222,-89.84417,"CEST.COMP",0
"36",49084,1967,12,16,"49084_02","djb dmdm","07/08/2024","na",56,45,"95.2","impact","impact_1964-1973",30.70222,-89.84417,"CEST.COMP",0
"37",59435,1969,10,28,"59435_03","djb kl","07/01/2024","na",71,52,"1795","control","control_1964-1973",30.77861,-89.82972,"CEST.COMP",0
"38",59435,1969,10,28,"59435_04","sc jt gmc","07/01/2024","na",64,54,"1223","control","control_1964-1973",30.77861,-89.82972,"CEST.COMP",0
"39",59435,1969,10,28,"59435_02","djb dmdm","07/01/2024","na",67,54,"1495","control","control_1964-1973",30.77861,-89.82972,"CEST.COMP",0
"40",59435,1969,10,28,"59435_01","SC DJB KL","07/01/2024","na",63,52,"1170","control","control_1964-1973",30.77861,-89.82972,"CEST.COMP",0
"41",68296,1971,1,25,"68296_01","SC DJB KL","07/03/2024","na",59,48,"1203","impact","impact_1964-1973",30.70222,-89.84417,"CEST.COMP",0
"42",68296,1971,1,25,"68296_02","DJB KC","07/03/2024","na",58,48,"1122","impact","impact_1964-1973",30.70222,-89.84417,"CEST.COMP",0
"43",68296,1971,1,25,"68296_03","CJW","07/03/2024","na",68,52,"1307","impact","impact_1964-1973",30.70222,-89.84417,"CEST.COMP",0
"44",68296,1971,1,25,"68296_04","DMDM","07/03/2024","F",58,46,"995","impact","impact_1964-1973",30.70222,-89.84417,"CEST.COMP",0
"45",72349,1971,10,26,"72349_02","SC JT CJW","07/02/2024",NA,52,43,"682","control","control_1964-1973",30.77861,-89.82972,"CEST.COMP",0
"46",72349,1971,10,26,"72349_01","DJB DMDM","07/02/2024","na",52,41,"586","control","control_1964-1973",30.77861,-89.82972,"CEST.COMP",0
"47",72349,1971,10,26,"72349_03","djb kl","07/02/2024","na",54,42,"780","control","control_1964-1973",30.77861,-89.82972,"CEST.COMP",0
"48",72349,1971,10,26,"72349_04","SC JT KL","07/02/2024","na",56,45,"845","control","control_1964-1973",30.77861,-89.82972,"CEST.COMP",0
"49",75711,1972,1,25,"75711_04","kl","03/04/2024","f",69,56,"","control","control_1964-1973",30.77861,-89.82972,"CEST.COMP",0
"50",75711,1972,1,25,"75711_03","kl gmc","03/04/2024","na",66,54,"","control","control_1964-1973",30.77861,-89.82972,"CEST.COMP",0
"51",75711,1972,1,25,"75711_02","kl","02/28/24","na",59,48,"","control","control_1964-1973",30.77861,-89.82972,"CEST.COMP",0
"52",75711,1972,1,25,"75711_01","KL GMC","02/28/2024",NA,70,55,"","control","control_1964-1973",30.77861,-89.82972,"CEST.COMP",0
"53",79386,1972,10,17,"79386_01","djb cjw","07/01/2024","na",59,45,"925","impact","impact_1964-1973",30.70222,-89.84417,"CEST.COMP",0
"54",79386,1972,10,17,"79386_04","djb jt kl","07/01/2024","na",59,46,"1029","impact","impact_1964-1973",30.70222,-89.84417,"CEST.COMP",0
"55",79386,1972,10,17,"79386_02","sc jt cjw","07/01/2024","na",59,50,"1093","impact","impact_1964-1973",30.70222,-89.84417,"CEST.COMP",0
"56",79386,1972,10,17,"79386_03","sc cjw","07/01/2024","na",61,50,"1062","impact","impact_1964-1973",30.70222,-89.84417,"CEST.COMP",0
"57",85342,1974,1,14,"85342_03","IJ DJB CJW","07/01/2024","na",35,30,"#VALUE!","impact","impact_1974-1983",30.76222,-89.83111,"CEST.COMP",0
"58",85342,1974,1,14,"85342_01","jt sc cjw","07/01/2024","na",70,56,"1618","impact","impact_1974-1983",30.76222,-89.83111,"CEST.COMP",0
"59",85342,1974,1,14,"85342_02","jt djb ij cjw","07/01/2024","na",67,53,"#VALUE!","impact","impact_1974-1983",30.76222,-89.83111,"CEST.COMP",0
"60",85342,1974,1,14,"85342_04","jt sc kl","07/01/2024","na",63,50,"1200","impact","impact_1974-1983",30.76222,-89.83111,"CEST.COMP",0
"61",92856,1975,1,24,"92856_04","jt djb gmc","07/01/2024","na",69,55,"1616","impact","impact_1974-1983",30.70222,-89.84417,"CEST.COMP",0
"62",92856,1975,1,24,"92856_01","sc gmc","07/01/2024","na",64,53,"1268","impact","impact_1974-1983",30.70222,-89.84417,"CEST.COMP",0
"63",92856,1975,1,24,"92856_02","djb sc dmdm","07/01/2024","f",71,55,"1739","impact","impact_1974-1983",30.70222,-89.84417,"CEST.COMP",0
"64",92856,1975,1,24,"92856_03","sc djb kl","07/01/2024","na",69,55,"1430","impact","impact_1974-1983",30.70222,-89.84417,"CEST.COMP",0
"65",98475,1976,7,16,"98475_03","SC","07/04/2024",NA,41,34,"29.4","impact","impact_1974-1983",30.705,-89.84611,"CEST.COMP",0
"66",98475,1976,7,16,"98475_04","GMC","07/04/2024","na",41,31,"434","impact","impact_1974-1983",30.705,-89.84611,"CEST.COMP",0
