InstitutionCode,CatalogNumber,IndividualCount,ScientificName,Locality,YearCollected,MonthCollected,DayCollected,Collector,CI,decade,IndividualFishID,Dissector,DissectionDate,Sex,TotalLength_mm,StandardLength_mm,weight_mg,Date_Datasheet_completed,NotesOnSpecimenPriorToDissection,ParasitesFound,MYX.OT.Skin,BuccalCavity,TREM.CM.BodyCavity,pectoral fin,TREM.META.HET.pectoralfin,CYST.UNK.PelvicFin,MONO.GDAC.PelvicFin,TREM.META.SP.AnalFin,CYST.UNK.AnalFin,TREM.META.SP.CaudalFin,TREM.META.HET.CAUDALFIN,CYST.UNK.CaudalFin,CYST.UNK.DorsalFin,TREM.CM.Gonad,TREM.CM.Liver,TREM.CM.Spleen,TREM.CM.Kidney,TREM.CM.EYE,TREM.META.UNK.EYE,MYX.EYE.EYE,Heart,FIBER.UNK.STOMACH,TREM.CM.Stomach,TREM.CM.ConnectiveTissue,TREM.ASS.ConnectiveTissue,CYST.UNK.CONNECTIVETISSUE,NEM.BUD.INTESTINE,NEM.UNK.INTESTINE,FIBER.UNK.Intestine,TREM.CM.INT,ACAN.AD.INT,TREM.META.GO,MONO.DACT.Gill,MYX.GL,MONO.UNK.GILL,NEM.BUD.GILL,CYST.UNK.GILL,TREM.CM.Flush,ParasitesVouchered,NEM.BUD.VOUCH,ACAN.AD.INT,TREM.ASS,TREM.META.UNK.VOUCH,TREM.META.GO,TREM.CM.VOUCH,TREM.META.SP.VOUCH,TREM.META.HET.VOUCH,MONO.DACT.VOUCH,MONO.GDAC.VOUCH,MYX.EYE.VOUCH,MYX.OT.VOUCH,MYX.GL.VOUCH,CYST.UNKF.VOUCH,CYST.UNK.VOUCH,FIBER.UNK.VOUCH
TU,100406,400,Hybognathus nuchalis,"Pearl River along left bank just below Pools Bluff Sill, 4 mi. S of Bogalusa.",1976,12,10,"R.D. Suttkus, Heath & Shaffer",impact,1974-1983,100406_01,KL,07/15/2023,F,90,72,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
TU,31296,28,Hybognathus nuchalis,Pearl R.,1963,12,13,Suttkus and Gurring,impact,1954-1963,31296_02,kl,03/27/2024,f,77,62,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,0,0,0,0,0,262,0,0,3,0,0,0,0,0,0,0
TU,31296,28,Hybognathus nuchalis,Pearl R.,1963,12,13,Suttkus and Gurring,impact,1954-1963,31296_01,gmc cjw,03/27/2024,f,113,89,,,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,10,5,24,0,0,0,0,213,0,0,0,0,0,0,0,2,5,,0,0,0,0,0,40,0,2,0,0,0,0,0,0,2,210
TU,31296,28,Hybognathus nuchalis,Pearl R.,1963,12,13,Suttkus and Gurring,impact,1954-1963,31296_03,DD GMC,03/27/2024,F,105,85,,,,,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,4,0,0,0,5,0,3,0,0,0,,0,0,0,0,0,12,2,1,4,0,0,0,0,0,0,4
TU,31194,14,Hybognathus nuchalis,PEARL R 1.5 MILES EAST BOGALUSA,1963,5,19,Suttkus and Gurring,control,1954-1963,31194_01,ht kl,04/01/2024,na,71,55,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,14,0,0,0,0,0,,0,0,0,0,0,173,0,0,14,0,0,0,0,0,0,0
TU,31194,14,Hybognathus nuchalis,PEARL R 1.5 MILES EAST BOGALUSA,1963,5,19,Suttkus and Gurring,control,1954-1963,31194_02,SD CJW,04/02/2024,NA,74,61,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,0,0,1,0,0,,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
TU,31194,14,Hybognathus nuchalis,PEARL R 1.5 MILES EAST BOGALUSA,1963,5,19,Suttkus and Gurring,control,1954-1963,31194_03,SD GMC,04/02/2024,NA,69,52,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,25,0,0,0,0,0,,1,0,0,0,0,2,1,0,15,0,0,0,0,0,0,0
TU,31194,14,Hybognathus nuchalis,PEARL R 1.5 MILES EAST BOGALUSA,1963,5,19,Suttkus and Gurring,control,1954-1963,31194_04,SD DD,04/02/2024,F,84,68,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,0,2,0,0,2,0,0,0,0,0,6,0
TU,31296,28,Hybognathus nuchalis,Pearl R.,1963,12,13,Suttkus and Gurring,impact,1954-1963,31296_04,dd ht kl,04/01/2024,f,106,81,,,,,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,66,0,0,1,0,0,0,0,0,0,0
TU,100905,14,Hybognathus nuchalis,,1977,1,19,SUTTKUS AND SORENOON,,1974-1983,100905_03,HT DD,04/15/2024,F,93,73,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,0,0,0,0,0,14,1,0,3,0,0,0,0,0,0,0
