InstitutionCode,CatalogNumber,IndividualCount,ScientificName,Latitude,Longitude,Locality,YearCollected,MonthCollected,DayCollected,Collector,CI,decade,IndividualFishID,Dissector,DissectionDate,Sex,TotalLength_mm,StandardLength_mm,weight_mg,NotesOnSpecimenPriorToDissection,ParasitesFound,Skin,BuccalCavity,BodyCavity,TREM.LARV.PectoralFin,TREM.MID.PECTORALFIN,TREM.LG.PECTORALFIN,TREM.LG.FIN Pelvic Fin,TREM.LARV.PelvicFin,TREM.MID.PELVICFIN,TREM.LG.FIN Anal Fin,TREM.LARV.AnalFin,TREM.MID.ANALFIN,TREM.LARV.CaudalFin,TREM.LG.FIN.Caudal,TREM.MID.CAUDALFIN,CYST.UNK.Caudal,TREM.LARV.DorsalFin,TREM.MID.DORSALFIN,TREM.LG.DORSALFIN,MYX.TAIL.Dorsal,Gonad,CYST.UNK.Liver,Spleen,CYST.UNK.Kidney,CYST.UNK.Eye,Heart,NEM.PHAR.Stomach,NEM.NMTS.Stomach,TREM.F.STOMACH,TREM.MEGICT.Stomach,CYST.UNK.ConnectiveTissue,NEM.PHAR.INTESTINE,NEM.SP.INTESTINE,NEM.PTY.INTESTINE,NEM.NMTS.Intestine,NEM.UNK.Intestine,TREM.MEGICT.Intestine,TREM.CREP.INTESTINE,TREM.UNKN.Intestine,TREM.ALLO.Intestine,TREM.LIP.Intestine,TREM.SMILE.Intestine,TREM.BLE.Intestine,CEST.MEG.Intestine,CYST.BD.GILL,CYST.MX.GILL,CYST.UNKN.GILL,MONO.IP.GILL,MONO.UNKN.GILL,MYXO.TAIL.GILL,NEM.UNK.gill,NEM.TAF.Flush,NEM.PHAR.Flush,TREM.MEGICT.FLUSH,TREM.2.FLUSH,TREM.META.FLUSH,MONO.IP.FLUSH,CYST.UNK.Flush,,VOUCH.CYST.MEG,VOUCH.NEM.TAF,VOUCH.NEM.PHAR,VOUCH.NEM.PTY,VOUCH.NEM.SP,VOUCH.NEM.NMTS,VOUCH.NEM.UNK,VOUCH.TREM.MEGICT,VOUCH.TREM.CREP,VOUCH.TREM.F,VOUCH.TREM.2,VOUCH.TREM.LG.FIN,VOUCH.TREM.ALLO,VOUCH.TREM.LIP,VOUCH.TREM.BLE,VOUCH.TREM.SMILE,VOUCH.MONO.IP,VOUCH.CYST.MX,VOUCH.CYST.BD,VOUCH.CYST.UNK,VOUCH.MYXO.TAIL,ParasitesMounted,MOUNT.NEM.TAF,MOUNT.NEM.PHAR,MOUNT.NEM.PTY,MOUNT.NEM.SP,MOUNT.TREM.MEGICT,MOUNT.TREM.CREP,MOUNT.TREM.F,MOUNT.TREM.2,MOUNT.MONO.IP,MOUNT.CYST.MX
TU,146787,14,Ictalurus punctatus,30.70222,-89.84417,Pearl River along left bank just below Pools Bluff Sill.,1986,10,9,R.D. Suttkus and J.H. Caruso,impact,1984-1993,146787_01,KL,7/14/2023,NA,85,64,,,,0,0,0,0,NA,0,0,0,NA,0,2,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,,,,,,,,,,,
TU,31267,24,Ictalurus punctatus,,,"Pearl River at mile 53.7, 2.3 miles S.E. of Bogalusa",1963,7,11,Suttkus and Gunning,,,31267_01,chw kl gc cnw,11/20/2023,na,66,52,,,,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
TU,31267,24,Ictalurus punctatus,,,"Pearl River at mile 53.7, 2.3 miles S.E. of Bogalusa",1963,7,11,Suttkus and Gunning,,,31267_02,KL,11/20/2023,na,65,49,,,,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
TU,147855,17,Ictalurus punctatus,,,"Pearl River, Mississippi along left bank opposite ",1987,1,22,Suttkus and Corvso,,,147855_01,GC,11/27/2023,na,50,39,,,,0,0,0,1,NA,0,0,6,NA,0,139,NA,158,0,NA,0,3,NA,0,0,NA,0,NA,NA,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,11,3,0,0,0,1,2,0,0,0,0,1,,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,,,,,,,,,,,
TU,147855,17,Ictalurus punctatus,,,"Pearl River, Mississippi",1987,1,22,Suttkus and Corvso,,,147855_02,CHW KL,11/27/2023,NA,87,64,,,,0,0,0,0,NA,0,0,66,NA,0,0,NA,124,0,NA,0,23,NA,0,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
TU,146787,14,Ictalurus punctatus,30.70222,-89.84417,Pearl River along left bank just below Pools Bluff Sill.,1986,10,9,R.D. Suttkus and J.H. Caruso,impact,1984-1993,146787_02,CNW KL,11/30/2023,NA,85,68,,,,0,0,0,0,NA,0,0,91,NA,0,0,NA,44,0,NA,0,0,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1547,4,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,
TU,185384,6,Ictalurus punctatus,,,Pearl River,1998,1,24,R.D. and J.S. Suttkus,,,185384_01,HT KL CNW,1/22/2024,na,100,78,,,,0,0,0,120,NA,0,0,67,NA,0,239,NA,278,0,NA,0,91,NA,0,0,NA,0,NA,0,0,0,0,0,2,0,0,1,2,1,0,0,23,0,0,0,0,0,0,0,0,0,826,0,0,0,0,0,0,2,0,0,0,0,,0,0,1,1,2,0,0,25,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
TU,185384,6,Ictalurus punctatus,,,Pearl River,1998,1,24,R.D. and J.S. Suttkus,,,185384_02,SD KL DD GC CNW,1/23/2024,NA,55,45,,,,0,0,0,20,NA,0,0,28,NA,0,67,NA,142,0,NA,0,31,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,,,,,,,,,,,
TU,118276,10,Ictalurus punctatus,,,Pearl River along right bank,1980,10,23,Suttkus and Gunning,,,118276_01,DD KL CHW CNW,1/17/2024,NA,60,49,,,,0,0,0,175,NA,2,0,146,NA,0,45,NA,30,0,NA,0,17,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884,6,0,0,0,0,0,1,1,1,0,0,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,,,,,,,,,,3,
TU,118276,10,Ictalurus punctatus,,,Pearl River,1980,10,23,Suttkus and Gunning,,,118276_02,GC,1/17/2024,NA,89,64,,,,0,0,0,46,NA,0,0,110,NA,0,22,NA,42,0,NA,0,2,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
