InstitutionCode,CatalogNumber,IndividualCount,ScientificName,Latitude,Longitude,Locality,YearCollected,MonthCollected,DayCollected,Collector,CI,decade,IndividualFishID,Dissector,DissectionDate,Sex,TotalLength_mm,StandardLength_mm,weight_mg,Date_Datasheet_Completed,NotesOnSpecimenPriorToDissection,ParasitesFound,CYST.SAC.Skin,cyst.unkn.skin,TREM.META_4.SKIN,BuccalCavity,BodyCavity,TREM.LARV.PectoralFin,TREM.SMLARV.PECTORALFIN,CYST.UNKN.PECTORALFIN,CYST.UNKN.PelvicFin,TREM.LARV.AnalFin,trem.larv.CaudalFin,CYST.UNK.CAUDALFIN,TREM.META.CAUDALFIN,TREM.LARV.DorsalFin,CYST.UNKN.DORSALFIN,Gonad,TREM.META.GONAD,nem.cystL.Liver,CYST.UNKN.LIVER,TREM.META.LIVER,Spleen,TREM.META.Kidney,CYST.UNK.Kidney,TREM.META.EYE,TREM.META_4.EYE,TREM.META_5.EYE,TREM.META_6.Eye,TREM.META_7.EYE,TREM.META.8.EYE,TREM.CYST.EYE,Heart,Stomach,NEM.CYST.CONNECTIVETISSUE,TREM.CYST.CONNECTIVETISSUE,TREM.META.CONNECTIVETISSUE,TREM.META_2.CONNECTIVETISSUES,TREM.META_3.CONNECTIVETISSUES,TREM.META_9.CONNECTIVETISSUE,CYST.UNKN.ConnectiveTissue,NEM.CAP.INTESTINE,NEM.BRAN.INTESTINE,NEM.TFS.INTESTINE,NEM.CYST.Intestine,NEM.UNKN.INTESTINE,CEST.LVS.INTESTINE,cest.tri.intestine,CEST.HYD.INTESTINE,CEST.CYRC.INTESTINE,CEST.COMP.INTESTINE,TREM.L.INTESTINE,TREM.GB.INTESTINE,UNK.SPK.INTESTINE,UNK.GC.INTESTINE,MONO.NA.Gill,MONO.DACT.GILL,MONO.BULL.GILL,MONO.UNKN.GILL,TREM.META.GILL,TREM.META_4.GILL,TREM.CYST.GILL,COPE.A.GILL,CYST.UNK.GILL,MYX.SP.GILL,TREM.META.FLUSH,TREM.META_1.FLUSH,TREM.CYST.FLUSH,MONO.BULL.FLUSH,NEM.BRAN.FLUSH,NEM.TWAS.FLUSH,NEM.CAP.VOUCH,NEM.BRAN.VOUCH,NEM.TFS.VOUCH,NEM.CYST.VOUCH,NEM.CYSTL.VOUCH,NEM.TWAS.VOUCH,NEM.UNKN.VOUCH,CEST.LVS.VOUCH,CEST.TRI.VOUCH,CEST.HYD.VOUCH,CEST.CURC.VOUCH,CEST.COMP.VOUCH,TREM.GB.VOUCH,TREM.META_1.VOUCH,TREM.META_2.VOUCH,TREM.META_3.VOUCH,TREM.META_4.VOUCH,TREM.META_5.VOUCH,TREM.META_6.VOUCH,TREM.META_7.VOUCH,TREM.META_9.VOUCH,TREM.META.CAUDALFIN.vouch,TREM.META.EYE.vouch,TREM.META.LIVER.vouch,TREM.META.KIDNEY.vouch,TREM.META.CONNECTIVETISSUE.vouch,TREM.META.GILL.vouch,TREM.META.FLUSH.vouch,TREM.CYST.VOUCH,TREM.SMLARV.VOUCH,TREM.LARV.FIN.VOUCH,TREM.META.GONAD,MONO.NA.VOUCH,MONO.DACT.VOUCH,MONO.BULL.VOUCH,MONO.UNKN.VOUCH,COPE.A.VOUCH,MYX.SP.VOUCH,CYST.UNKN.VOUCH,UNK.SPK.VOUCH,UNK.GC.VOUCH,ParasitesmMounted,NEM.CAP.MOUNT,NEM.TFS.MOUNT,NEM.CYST.MOUNT,NEM.CYSTL.MOUNT,NEM.UNKN.MOUNT,CEST.LVS.MOUNT,CEST.HYD.MOUNT,CEST.CURC.MOUNT,CEST.COMP.MOUNT,TREM.GB.MOUNT,TREM.META_1.MOUNT,TREM.META_2.MOUNT,TREM.META_3.MOUNT,TREM.META_4.MOUNT,TREM.META_5.MOUNT,TREM.META_6.MOUNT,TREM.META_7.MOUNT,TREM.META_9.MOUNT,TREM.CYST.MOUNT,TREM.SMLARV.MOUNT,TREM.LARV.FIN.MOUNT,MONO.NA.MOUNT,MONO.BULL.MOUNT,MONO.UNKN.MOUNT,COPE.A.MOUNT,MYX.SP.MOUNT,CYST.UNKN.MOUNT,UNK.SPK.MOUNT,UNK.GC.MOUNT
TU,49057,44,Notropis atherinoides,30.70222,-89.84417,Pearl River just below sill at Pools Bluff; 4 mi. S of Bogalusa.,1967,12,7,"R.D. Suttkus , Laska & Suttkus",impact,1964-1973,49057_01,kl,07/15/2023,na,87,72,,,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TU,49057,44,Notropis atherinoides,30.70222,-89.84417,Pearl River just below sill at Pools Bluff; 4 mi. S of Bogalusa.,1967,12,7,"R.D. Suttkus , Laska & Suttkus",impact,1964-1973,49057_02,KL,07/15/2023,NA,78,65,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TU,106306,25,Notropis atherinoides,,,,1978,3,23,Gunning and Rohmann,,,106306_02,sd dd,02/06/2024,F,64,51,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TU,106306,25,Notropis atherinoides,,,,1978,3,23,Gunning and Rohmann,,,106306_04,HT GC kl,02/12/2024,f,80,63,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
TU,106306,25,Notropis atherinoides,,,,1978,3,23,Gunning and Rohmann,,,106306_01,SD CJW KL,02/06/2024,na,74,58,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,33,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TU,106306,25,Notropis atherinoides,,,,1978,3,23,Gunning and Rohmann,,,106306_03,SD GMC,02/06/2024,F,84,70,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TU,31291,10,Notropis atherinoides,,,,1963,12,13,Suttkus and Gurring,,,31291_04,kl,01/31/2024,na,90,72,,,,,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,NA,na,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TU,31291,10,Notropis atherinoides,,,,1963,12,13,Suttkus and Gurring,,,31291_01,HT DD,01/29/2024,NA,76,61,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TU,31291,10,Notropis atherinoides,,,,1963,12,13,Suttkus and Gurring,,,31291_03,HT GMC KL,01/29/2024,NA,87,70,,,,,0,0,0,0,0,0,0,0,0,2,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TU,31291,10,Notropis atherinoides,,,,1963,12,13,Suttkus and Gurring,,,31291_02,HT KL,01/29/2024,NA,80,66,,,,,0,0,0,0,0,0,157,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
