psite_spp,Fish_sp,Life_History,Parasite_taxonomic_group
ACANTH.BIGB,Pimephales vigilax,Complex,Acanthocephala
ACANTH.BKR,Pimephales vigilax,Complex,Acanthocephala
CEST.COMP,Pimephales vigilax,Complex,Cestoda
CEST.GODZ,Pimephales vigilax,Complex,Cestoda
CEST.L,Pimephales vigilax,Complex,Cestoda
CEST.NTG,Pimephales vigilax,Complex,Cestoda
CEST.PEA,Pimephales vigilax,Complex,Cestoda
CEST.UNK,Pimephales vigilax,Complex,Cestoda
CEST.VIT,Pimephales vigilax,Complex,Cestoda
COPE.CL,Pimephales vigilax,Direct,Copepoda
COPE.GRAB,Pimephales vigilax,Direct,Copepoda
META.HS,Pimephales vigilax,Complex,Trematoda
META.UNK,Pimephales vigilax,Complex,Trematoda
MONO.DACT,Pimephales vigilax,Direct,Monogenea
MONO.GYRO,Pimephales vigilax,Direct,Monogenea
MONO.LG,Pimephales vigilax,Direct,Monogenea
MYX.GEOM,Pimephales vigilax,Complex,Myxozoa
MYX.GO,Pimephales vigilax,Complex,Myxozoa
MYX.THEL,Pimephales vigilax,Complex,Myxozoa
MYXO.BC,Pimephales vigilax,Complex,Myxozoa
MYXO.SBAD,Pimephales vigilax,Complex,Myxozoa
MYXO.UNK,Pimephales vigilax,Complex,Myxozoa
MYXO.UP,Pimephales vigilax,Complex,Myxozoa
NEM.CAP,Pimephales vigilax,NA,Nematoda
NEM.CONA,Pimephales vigilax,NA,Nematoda
NEM.DICH,Pimephales vigilax,NA,Nematoda
NEM.CYST,Pimephales vigilax,Complex,Nematoda
NEM.LARV,Pimephales vigilax,Complex,Nematoda
NEM.TRBK,Pimephales vigilax,NA,Nematoda
NEM.UNK,Pimephales vigilax,NA,Nematoda
TREM.BUC,Pimephales vigilax,Complex,Trematoda
TREM.MET,Pimephales vigilax,Complex,Trematoda
TREM.METAF,Pimephales vigilax,Complex,Trematoda
TREM.METAGS,Pimephales vigilax,Complex,Trematoda
TREM.MS,Pimephales vigilax,Complex,Trematoda
TREM.NEA,Pimephales vigilax,Complex,Trematoda
TREM.RNDA,Pimephales vigilax,Complex,Trematoda
TREM.SSS,Pimephales vigilax,Complex,Trematoda
TREM.UNK,Pimephales vigilax,Complex,Trematoda
ACAN.OSTR,Ictalurus punctatus,Complex,Acanthocephala
CEST.COMP,Ictalurus punctatus,Complex,Cestoda
CEST.MEG,Ictalurus punctatus,Complex,Cestoda
LEECH.KUT,Ictalurus punctatus,NA,Hirudinea
MONO.IP,Ictalurus punctatus,Direct,Monogenea
MONO.UNK,Ictalurus punctatus,Direct,Monogenea
