psite_spp,Fish_sp,Life_History,Parasite_taxonomic_group,Parasite_genus,Parasite_epithet,Parasite_species
ACANTH.BIGB,Pimephales vigilax,Complex,Acanthocephala,,, 
ACANTH.BKR,Pimephales vigilax,Complex,Acanthocephala,,, 
CEST.COMP,Pimephales vigilax,Complex,Cestoda,,, 
CEST.GODZ,Pimephales vigilax,Complex,Cestoda,,, 
CEST.L,Pimephales vigilax,Complex,Cestoda,,, 
CEST.NTG,Pimephales vigilax,Complex,Cestoda,,, 
CEST.PEA,Pimephales vigilax,Complex,Cestoda,,, 
CEST.UNK,Pimephales vigilax,Complex,Cestoda,,, 
CEST.VIT,Pimephales vigilax,Complex,Cestoda,,, 
COPE.CL,Pimephales vigilax,Direct,Copepoda,,, 
COPE.GRAB,Pimephales vigilax,Direct,Copepoda,,, 
META.HS,Pimephales vigilax,Complex,Trematoda,,, 
META.UNK,Pimephales vigilax,Complex,Trematoda,,, 
MONO.DACT,Pimephales vigilax,Direct,Monogenea,Dactylogyrus ,spp.,Dactylogyrus  spp.
MONO.GYRO,Pimephales vigilax,Direct,Monogenea,Gyrodactylus ,spp.,Gyrodactylus  spp.
MONO.LG,Pimephales vigilax,Direct,Monogenea,Gyrodactylus ,spp.,Gyrodactylus  spp.
MYX.GEOM,Pimephales vigilax,Complex,Myxozoa,,, 
MYX.GO,Pimephales vigilax,Complex,Myxozoa,Myxobolus,spp.,Myxobolus spp.
MYX.THEL,Pimephales vigilax,Complex,Myxozoa,Thelohanellus,notatus,Thelohanellus notatus
MYXO.BC,Pimephales vigilax,Complex,Myxozoa,Myxobolus,spp.,Myxobolus spp.
MYXO.SBAD,Pimephales vigilax,Complex,Myxozoa,Myxobolus,spp.,Myxobolus spp.
MYXO.UNK,Pimephales vigilax,Complex,Myxozoa,,, 
MYXO.UP,Pimephales vigilax,Complex,Myxozoa,,, 
NEM.CAP,Pimephales vigilax,NA,Nematoda,Capillaria ,sp.,Capillaria  sp.
NEM.CONA,Pimephales vigilax,NA,Nematoda,,, 
NEM.DICH,Pimephales vigilax,NA,Nematoda,,, 
NEM.CYST,Pimephales vigilax,Complex,Nematoda,,, 
NEM.LARV,Pimephales vigilax,Complex,Nematoda,,, 
NEM.TRBK,Pimephales vigilax,NA,Nematoda,,, 
NEM.UNK,Pimephales vigilax,NA,Nematoda,,, 
TREM.BUC,Pimephales vigilax,Complex,Trematoda,,, 
TREM.MET,Pimephales vigilax,Complex,Trematoda,,, 
TREM.METAF,Pimephales vigilax,Complex,Trematoda,,, 
TREM.METAGS,Pimephales vigilax,Complex,Trematoda,,, 
