InstitutionCode,CatalogNumber,IndividualCount,ScientificName,Latitude,Longitude,Locality,YearCollected,MonthCollected,DayCollected,Collector,ControlOrImpact,IndividualFishID,Dissector,DissectionDate,Sex,TotalLength_mm,StandardLength_mm,weight_mg,Arthropod_GutContents,Mullusc_GutContents,Vegetation_GutContents,Rotifer_GutContents,NotesOnSpecimenPriorToDissection,TREM.Sk.SKIN,BuccalCavity,TREM.SK.BodyCavity,CYST.PRO.PectoralFin,CYST.PRO.PelvicFin,CYST.PRO.AnalFin,CYST.PRO.CaudalFin,CYST.PRO.DorsalFin,Gonad,NEM.LARV.Liver,CYST.LOBE.Liver,Spleen,GALLBLADDER,TREM.PHLb.UrinaryBladder,Kidney,TREM.SK.Eye,Heart,CEST.BOT.Stomach,ACANTH.CYA.CONNECTIVETISSUE,NEM.LARV.CONNECTIVETISSUE,CYST.LOBE.ConnectiveTissue,CYST.UNK.CONNECTIVETISSUES,NEM.LARV.INTESTINE,CEST.BOT.INTESTINE,ACANTH.BB.INTESTINE,acanth.cya.intestine,CYST.UNKN.INTESTINE,MONO.GYRO.Gill,CYST.UNK.GILL,ACANTH.BB.FLUSH,NEM.LARV.Flush,CYST.LOBE.FLUSH,NEM.LARV.VOUCH,CEST.BOT.VOUCH,ACANTH.BB.VOUCH,ACANTH.CYA.VOUCH,TREM.SK.VOUCH,CYST.PRO.VOUCH,CYST.LOBE.VOUCH,CYST.UNKN.VOUCH,MONO.GYRO.SLIDE
TU,64889,NA,percina vigil,,,,1970,10,27,Suttkus and Thompson,,64889_02,kl,07/12/2023,na,47,40,na,na,na,na,na,,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0
TU,64889,NA,percina vigil,,,,1970,10,27,Suttkus and Thompson,,64889_01,KL,07/11/23,NA,44,39,na,na,na,na,na,,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TU,42166,15/171,percina vigil,,,,1966,10,29,SUTTKUS CLEMMER AND JORDAN,,42166_01,KL ACL GMC,04/17/2024,M,55,46,na,na,na,na,na,,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TU,42166,15/171,percina vigil,,,,1966,10,29,SUTTKUS CLEMMER AND JORDAN,,42166_02,KL GMC,04/17/2024,M,54,46,na,na,na,na,na,CADDISFLYS,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TU,92873,32,percina vigil,,,,1975,1,28,suttkus and Caruso,,92873_01,ht ddm kl,04/22/2024,f,50,42,na,na,na,na,na,,0,0,0,0,30,77,32,2,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,1,3,1,0,0,0,4,0,0
TU,92873,32,percina vigil,,,,1975,1,28,suttkus and Caruso,,92873_02,HT ACL KL,04/22/2024,F,50,41,na,na,na,na,na,,0,0,0,0,45,97,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TU,68677,9,percina vigil,,,,1971,4,20,suttkus and thompson,,68677_02,ht acl gmc,04/22/2024,f,38,33,na,na,na,na,na,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,2,1,2,0,0,NA,0,2,1,0
TU,86516,17,percina vigil,,,,1974,1,14,SUTTKUS AND GUNNING,,86516_01,HT ACL,04/29/2024,NA,48,41,na,na,na,na,na,,0,0,0,0,15,52,24,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TU,68677,9,percina vigil,,,,1971,4,20,suttkus and thompson,,68677_01,ht cjw kl,04/22/2024,m,54,46,na,na,na,na,na,fibrous grey spots all over internal connective tissues. cest.bot was lost,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0
TU,160042,17,percina vigil,,,,1991,1,3,suttkus and Caruso,,160042_02,sde acl,04/30/2024,f,51,43,na,na,na,na,na,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
TU,86516,17,percina vigil,,,,1974,1,14,SUTTKUS AND GUNNING,,86516_02,ht ddm ,04/29/2024,F,44,37,na,y,y,N,N,"diptera spp, bivalve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TU,160042,17,percina vigil,,,,1991,1,3,suttkus and Caruso,,160042_01,sd acl,04/30/2024,na,55,44,na,na,na,na,na,maybe a fungal infection (lesion) on skin,0,0,0,1,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,91,3,0,1
TU,31295,6,percina vigil,,,,1963,12,13,suttkus and jenning,,31295_02,sc kl,07/25/2024,f,52,44,1149,y,N,N,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TU,72447,190,percina vigil,,,,1971,10,26,suttkus and thompson,,72667_01,jt dmdm,07/25/2024,f,51,42,825,na,na,na,na,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TU,115131,7,percina vigil,,,,1979,10,24,SUTTKUS AND GUNNING,,115131_01,djb gmc,07/25/2024,na,47,39,608,y,N,N,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TU,156724,25,percina vigil,,,,1989,10,12,suttkus and Caruso,,156724_01,JT IJ CJW,07/25/24,NA,51,42,890,Y,Y,N,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
TU,143904,10,percina vigil,,,,1986,1,30,SUTTKUS AND GOODFELLOW,,143904_02,DJB CJW,07/25/2024,NA,50,41,794,N,Y,N,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
