InstitutionCode,CollectionCode,CatalogNumber,IndividualCount,ScientificName,Family,PreparationType,Tissues,Latitude,Longitude,CoordinateUncertaintyInMeters,HorizontalDatum,Country,StateProvince,County,Island,IslandGroup,Locality,VerbatimElevation,VerbatimDepth,YearCollected,MonthCollected,DayCollected,Collector,GeorefMethod,LatLongComments,BasisOfRecord,Remarks,DateLastModified
TU,Fish,53236,21,Gambusia affinis,Poeciliidae,,,30.70389,-89.84556,,,United States of America,Louisiana,Washington,,,Pools Bluff Sill at boat launching area.,,,1968,7,18,"Cashner, Berra, Harrington, Smith & Laska",,,PreservedSpecimen,,
TU,Fish,53239,40,Lepomis megalotis,Centrarchidae,,,30.70389,-89.84556,,,United States of America,Louisiana,Washington,,,Pools Bluff Sill at boat launching area.,,,1968,7,18,"Cashner, Berra, Harrington, Smith & Laska",,,PreservedSpecimen,,
TU,Fish,53233,13,Pimephales vigilax,Cyprinidae,,,30.70389,-89.84556,,,United States of America,Louisiana,Washington,,,Pools Bluff Sill at boat launching area.,,,1968,7,18,"Cashner, Berra, Harrington, Smith & Laska",,,PreservedSpecimen,,
TU,Fish,66074,2,Gambusia affinis affinis,Poeciliidae,,,30.72194,-89.85583,,,United States of America,Louisiana,Washington,,,"Lee's Creek trib. to Pearl River LA Hwy. 21 bridge, 3 mi. S of Bogalusa.",,,1970,4,21,B.A. Thompson,,,PreservedSpecimen,,
TU,Fish,63767,46,Lepomis megalotis megalotis,Centrarchidae,,,30.77861,-89.82972,,,United States of America,Louisiana,Washington,,,Pearl River just above mouth of Coburn Creek - Fish Stat. #1.,,,1970,7,9,B.A. Thompson & G.E. Gunning,,,PreservedSpecimen,,
TU,Fish,63766,14,Pimephales vigilax perspicuus,Cyprinidae,,,30.77861,-89.82972,,,United States of America,Louisiana,Washington,,,Pearl River just above mouth of Coburn Creek - Fish Stat. #1.,,,1970,7,9,B.A. Thompson & G.E. Gunning,,,PreservedSpecimen,,
TU,Fish,63762,91,Hybognathus nuchalis,Cyprinidae,,,30.77861,-89.82972,,,United States of America,Louisiana,Washington,,,Pearl River just above mouth of Coburn Creek - Fish Stat. #1.,,,1970,7,9,B.A. Thompson & G.E. Gunning,,,PreservedSpecimen,,
TU,Fish,63760,1,Carpiodes velifer,Catostomidae,,,30.77861,-89.82972,,,United States of America,Louisiana,Washington,,,Pearl River just above mouth of Coburn Creek - Fish Stat. #1.,,,1970,7,9,B.A. Thompson & G.E. Gunning,,,PreservedSpecimen,,
TU,Fish,63775,22,Gambusia affinis affinis,Poeciliidae,,,30.77861,-89.82972,,,United States of America,Louisiana,Washington,,,Pearl River at sandbar just below mouth of Coburn Creek - Fish Stat. #2.,,,1970,7,9,B.A. Thompson & G.E. Gunning,,,PreservedSpecimen,,
TU,Fish,63780,357,Ictalurus punctatus,Ictaluridae,,,30.75667,-89.82611,,,United States of America,Louisiana,Washington,,,Pearl River at sandbar about 0.5 mi. below Richardson Landing - Fish Stat. #3.,,,1970,7,9,B.A. Thompson & G.E. Gunning,,,PreservedSpecimen,,
TU,Fish,63778,7,Notropis atherinoides,Cyprinidae,,,30.75667,-89.82611,,,United States of America,Louisiana,Washington,,,Pearl River at sandbar about 0.5 mi. below Richardson Landing - Fish Stat. #3.,,,1970,7,9,B.A. Thompson & G.E. Gunning,,,PreservedSpecimen,,
TU,Fish,63786,10,Hybognathus nuchalis,Cyprinidae,,,30.74055,-89.82694,,,United States of America,Louisiana,Washington,,,Pearl River at sandbar at River Mile 54 - Fish Stat. #4.,,,1970,7,9,B.A. Thompson & G.E. Gunning,,,PreservedSpecimen,,
TU,Fish,63793,8,Pimephales vigilax,Cyprinidae,,,30.74055,-89.82694,,,United States of America,Louisiana,Washington,,,Pearl River at sandbar at River Mile 54 - Fish Stat. #4.,,,1970,7,9,B.A. Thompson & G.E. Gunning,,,PreservedSpecimen,,
TU,Fish,63794,53,Ictalurus punctatus,Ictaluridae,,,30.74055,-89.82694,,,United States of America,Louisiana,Washington,,,Pearl River at sandbar at River Mile 54 - Fish Stat. #4.,,,1970,7,9,B.A. Thompson & G.E. Gunning,,,PreservedSpecimen,,
TU,Fish,63795,6,Lepomis megalotis megalotis,Centrarchidae,,,30.74055,-89.82694,,,United States of America,Louisiana,Washington,,,Pearl River at sandbar at River Mile 54 - Fish Stat. #4.,,,1970,7,9,B.A. Thompson & G.E. Gunning,,,PreservedSpecimen,,
