"","InstitutionCode","CollectionCode","CatalogNumber","IndividualCount","ScientificName","Family","PreparationType","Tissues","Latitude","Longitude","CoordinateUncertaintyInMeters","HorizontalDatum","Country","StateProvince","County","Island","IslandGroup","Locality","VerbatimElevation","VerbatimDepth","YearCollected","MonthCollected","DayCollected","Collector","GeorefMethod","LatLongComments","BasisOfRecord","Remarks","DateLastModified","CI","decade"
"2810","TU","Fish",157316,12,"Ictalurus punctatus","Ictaluridae",NA,NA,30.75667,-89.82611,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River along right bank 0.5 mi. below Richardson Landing.",NA,NA,1990,1,25,"R.D. Suttkus & J.H. Caruso",NA,NA,"PreservedSpecimen","",NA,"impact","1984-1993"
"2910","TU","Fish",157340,13,"Ictalurus punctatus","Ictaluridae",NA,NA,30.705,-89.84611,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank just above Pools Bluff Sill.",NA,NA,1990,1,25,"R.D. Suttkus & J.H. Caruso",NA,NA,"PreservedSpecimen","",NA,"impact","1984-1993"
"3010","TU","Fish",157351,4,"Ictalurus punctatus","Ictaluridae",NA,NA,30.70222,-89.84417,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank just below Pools Bluff Sill.",NA,NA,1990,1,25,"R.D. Suttkus & J.H. Caruso",NA,NA,"PreservedSpecimen","",NA,"impact","1984-1993"
"3511","TU","Fish",160020,67,"Ictalurus punctatus","Ictaluridae",NA,NA,30.705,-89.84611,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank just above Pools Bluff Sill.",NA,NA,1991,1,3,"R.D. Suttkus & J.H. Caruso",NA,NA,"PreservedSpecimen","",NA,"impact","1984-1993"
"3610","TU","Fish",160033,23,"Ictalurus punctatus","Ictaluridae",NA,NA,30.70222,-89.84417,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank just below Pools Bluff Sill.",NA,NA,1991,1,3,"R.D. Suttkus & J.H. Caruso",NA,NA,"PreservedSpecimen","",NA,"impact","1984-1993"
"379","TU","Fish",136244,15,"Ictalurus punctatus","Ictaluridae",NA,NA,30.74055,-89.82694,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank at River Mile 54.",NA,NA,1984,7,17,"R.D. Suttkus & V.C. Trau",NA,NA,"PreservedSpecimen","",NA,"impact","1984-1993"
"3841","TU","Fish",138248,5,"Ictalurus punctatus","Ictaluridae",NA,NA,30.705,-89.84611,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank just above Pool Bluff Sill.",NA,NA,1984,10,19,"R.D. Suttkus & K.G. Goodfellow",NA,NA,"PreservedSpecimen","",NA,"impact","1984-1993"
"3851","TU","Fish",138258,227,"Ictalurus punctatus","Ictaluridae",NA,NA,30.70222,-89.84417,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank just below Pool Bluff Sill.",NA,NA,1984,10,19,"R.D. Suttkus & K.G. Goodfellow",NA,NA,"PreservedSpecimen","",NA,"impact","1984-1993"
"3901","TU","Fish",146787,14,"Ictalurus punctatus","Ictaluridae",NA,NA,30.70222,-89.84417,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank just below Pools Bluff Sill.",NA,NA,1986,10,9,"R.D. Suttkus & J.H. Caruso",NA,NA,"PreservedSpecimen","",NA,"impact","1984-1993"
"3921","TU","Fish",147873,16,"Ictalurus punctatus","Ictaluridae",NA,NA,30.74055,-89.82694,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank at River Mile 54; or 2.3 mi. SE of Bogalusa.",NA,NA,1987,1,22,"R.D. Suttkus & J.H. Caruso",NA,NA,"PreservedSpecimen","",NA,"impact","1984-1993"
"3951","TU","Fish",150540,20,"Ictalurus punctatus","Ictaluridae",NA,NA,30.70222,-89.84417,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank just below Pools Bluff Sill; 4 mi. S of Bogalusa.",NA,NA,1987,10,29,"R.D. Suttkus & J.H. Caruso",NA,NA,"PreservedSpecimen","",NA,"impact","1984-1993"
"3981","TU","Fish",153841,32,"Ictalurus punctatus","Ictaluridae",NA,NA,30.70222,-89.84417,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank just below Pools Bluff Sill.",NA,NA,1988,10,20,"R.D. Suttkus & J.H. Caruso",NA,NA,"PreservedSpecimen","",NA,"impact","1984-1993"
