"","InstitutionCode","CollectionCode","CatalogNumber","IndividualCount","ScientificName","Family","PreparationType","Tissues","Latitude","Longitude","CoordinateUncertaintyInMeters","HorizontalDatum","Country","StateProvince","County","Island","IslandGroup","Locality","VerbatimElevation","VerbatimDepth","YearCollected","MonthCollected","DayCollected","Collector","GeorefMethod","LatLongComments","BasisOfRecord","Remarks","DateLastModified","CI","decade"
"6100","TU","Fish",79510,34,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River at sandbar just below mouth of Coburn Creek.",NA,NA,1972,7,12,"B.A. Thompson & Cashner",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"2210","TU","Fish",47061,4,"Ictalurus punctatus","Ictaluridae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between Coburn & Bogalusa Creeks; 1.5 mi. E of Bogalusa - Fish Stat. #2.",NA,NA,1967,7,13,"G.E. Gunning & G.H. Clemmer",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"1151","TU","Fish",33589,6,"Ictalurus punctatus","Ictaluridae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between mouth of Coburn & Bogalusa Creeks, 1.4 mi. E of Hwy. 7 in Bogalusa.",NA,NA,1964,7,9,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"1201","TU","Fish",33651,7,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above mouth of Coburn Creek; 1.5 mi. E of Hwy. 7 in Bogalusa.",NA,NA,1964,8,10,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"1211","TU","Fish",33669,19,"Ictalurus punctatus","Ictaluridae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between Coburn and Bogalusa Creeks, 1.5 mi. E of Hwy. 7 in Bogalusa.",NA,NA,1964,8,10,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"1313","TU","Fish",34755,11,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above Coburn Creek, 1.4 mi. E of Hwy. 7 in Bogalusa.",NA,NA,1964,10,16,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"132","TU","Fish",34760,9,"Ictalurus punctatus","Ictaluridae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between Coburn & Bogalusa Creeks, 1.5 mi. E of Hwy. 7 in Bogalusa.",NA,NA,1964,10,16,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"1412","TU","Fish",27603,16,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above mouth of Coburn Creek, 1.5 mi. E of Hwy. 7 in Bogalusa.",NA,NA,1964,12,18,"G.E. Gunning & J.S. Ramsey",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"1452","TU","Fish",27801,80,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above mouth of Coburn Creek, 1.5 mi. E of Hwy. 7 in Bogalusa.",NA,NA,1965,2,12,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"1462","TU","Fish",27804,32,"Ictalurus punctatus","Ictaluridae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between mouth of Coburn & Bogalusa Creeks, 1.4 mi. E of Hwy. 7 (21) in Bogalusa.",NA,NA,1965,2,12,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"1501","TU","Fish",37227,9,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above mouth of Coburn Creek 1.5 mi. E of Hwy. 7 in Bogalusa.",NA,NA,1965,4,8,"R.D. Suttkus & C.D. Barbour",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"1513","TU","Fish",37234,9,"Ictalurus punctatus","Ictaluridae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between mouth of Coburn & Bogalusa Creeks, 1.4 mi. E of Hwy. 7 in Bogalusa.",NA,NA,1965,4,8,"R.D. Suttkus & C.D. Barbour",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
